_rank|_name|_score|_link|head|emotion|color shade|eye|clothing|house of|texture|unique|class|name|backdrop|mouth
281|BitToonDAO #283|255.2642877357015|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/283|Devil Horns|None|Flamingo Zirconie|Eyeglasses|T-Shirt|Bubble|Jelly Bowl||||Skateboard|None
282|BitToonDAO #211|254.8613595243898|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/211|Frog Head|None|Forest Pinkie|None|T-Shirt|Government|Plastic||||Backpack|Pipe
283|BitToonDAO #573|253.6051668462087|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/573|Hat|None|Morning Galaxie|Cyclops|T-Shirt|Media|Plastic||||RPG|Pacifier
284|BitToonDAO #171|253.42139753708017|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/171|Undercut|None|Dusty Cyanie|Cyclops|Leather Jacket|Phoenix|Plastic||||Double Chups|Moustache
285|BitToonDAO #140|252.85762959667034|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/140|None|None|Morning Galaxie|None|Oriental Uniform|Queen|Plastic||||BitToon Flag|Pipe
286|BitToonDAO #333|251.23933649650877|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/333|Witch Hat|None|Flamingo Zirconie|None|Graduation Gown|Giant|Plastic||||Butterfly Wings|None
287|BitToonDAO #6|250.44867447792114|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/6|Santa Hat|None|Silver Lavandie|3D Goggles|T-Shirt|Vampire|Metal||||RPG|Pipe
288|BitToonDAO #121|250.27612799015174|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/121|Tribal Hat|None|Elegant Goldie|Eyeglasses|Gradient Shirt|Blockchain|Plastic||||Guitar|Duckie
289|BitToonDAO #473|250.24909008085226|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/473|Chubby Unicorn|None|Dusty Cyanie|Eye Pad|T-Shirt|Prophet|Plastic||||Wooden Staff|None
290|BitToonDAO #64|250.1942351813787|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/64|Santa Hat|None|Silver Lavandie|Cyclops|T-Shirt|King|Metal||||Backpack|Pipe
291|BitToonDAO #11|249.88417205337757|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/11|Robinhood Hat|None|Billiard Whitie|Cyclops|T-Shirt|Dreamer|Ceramic||||BitToon Flag|Duckie
292|BitToonDAO #576|249.00155870253315|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/576|Undercut|None|Sunset Rubie|None|Count|Government|Plastic||||Double Chups|None
293|BitToonDAO #105|248.90442308720236|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/105|Santa Hat|None|Billiard Whitie|3D Goggles|T-Shirt|Giant|Ceramic||||Devil Wings|Duckie
294|BitToonDAO #545|248.21367510914206|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/545|Crown|None|Elegant Goldie|3D Goggles|T-Shirt|Gold|Plastic||||RPG|Cigar
295|BitToonDAO #10|248.18893475616795|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/10|Crown|None|Autumn Lillie|Cyclops|Kid's Overalls|Giant|Clay Dough||||RPG|None
296|BitToonDAO #468|247.8482014867563|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/468|Frog Head|None|Sunset Rubie|None|Oriental Uniform|Cypher|Clay Dough||||Wooden Staff|None
297|BitToonDAO #136|247.83734127457842|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/136|Crown|None|Forest Pinkie|Snorkeling Goggles|Kid's Overalls|Blockchain|Jelly Bowl||||Guitar|None
298|BitToonDAO #231|247.5445518713745|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/231|Devil Horns|None|Sunset Rubie|Cyclops|T-Shirt|Bubble|Jelly Bowl||||Skateboard|None
299|BitToonDAO #282|246.96428773570148|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/282|Hat|None|Elegant Goldie|Eyeglasses|T-Shirt|Bull|Jelly Bowl||||Skateboard|None
300|BitToonDAO #532|246.02960320536582|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/532|Crown|None|Autumn Lillie|Cyclops|Kid's Overalls|Turtle|Clay Dough||||Oxygen Tank|None
301|BitToonDAO #162|245.94048016430938|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/162|Witch Hat|None|Autumn Lillie|None|Superstar Sweater|Cypher|Metal||||Double Chups|None
302|BitToonDAO #216|245.77512437958768|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/216|Frog Head|None|Forest Pinkie|None|Peony Shirt|Phoenix|Plastic||||Backpack|None
303|BitToonDAO #149|245.73666202889524|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/149|Crown|None|Autumn Lillie|Cyclops|Kid's Overalls|Gold|Clay Dough||||Backpack|None
304|BitToonDAO #381|245.3350950811291|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/381|Devil Horns|None|Sunset Rubie|None|Leather Jacket|Miner|Jelly Bowl||||Oxygen Tank|Duckie
305|BitToonDAO #52|245.31252252588632|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/52|Crown|None|Sunset Rubie|Cyclops|T-Shirt|Bot|Plastic||||Devil Wings|Crow Beak
306|BitToonDAO #590|245.2066741676536|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/590|Crown|None|Black Matterie|Eyeglasses|Oriental Uniform|Miner|Clay Dough||||Guitar|None
307|BitToonDAO #42|245.20034559137684|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/42|Undercut|None|Billiard Whitie|Cyclops|Leather Jacket|Believer|Ceramic||||Skateboard|Duckie
308|BitToonDAO #585|244.36274447328415|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/585|Chubby Unicorn|None|Emerald Jettie|None|Superstar Sweater|Blockchain|Plastic||||Angel Wings|None
309|BitToonDAO #492|244.06224610236768|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/492|Crown|None|Billiard Whitie|None|Oriental Uniform|Pirate|Clay Dough||||Backpack|Duckie
310|BitToonDAO #47|243.80961251025423|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/47|Chubby Unicorn|None|Sunset Rubie|Cyclops|Graduation Gown|Knight|Metal||||Guitar|None
311|BitToonDAO #94|243.58037147664402|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/94|Santa Hat|None|Morning Galaxie|3D Goggles|T-Shirt|Giant|Metal||||RPG|Pacifier
312|BitToonDAO #206|243.44093774196966|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/206|Reindeer Hoodie|None|Forest Pinkie|None|T-Shirt|Queen|Plastic||||Wooden Staff|None
313|BitToonDAO #495|243.19672759334838|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/495|None|None|Scalet Bluie|None|Peony Shirt|Blockchain|Plastic||||Skateboard|Pipe
314|BitToonDAO #31|243.09810647574778|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/31|Witch Hat|None|Forest Pinkie|Eyeglasses|Superstar Sweater|Giant|Metal||||BitToon Flag|None
315|BitToonDAO #243|242.02726541603795|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/243|Tribal Hat|None|Morning Galaxie|3D Goggles|T-Shirt|Empress|Metal||||Devil Wings|Pacifier
316|BitToonDAO #459|241.96421730325804|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/459|Reindeer Hoodie|None|Billiard Whitie|None|Oriental Uniform|Media|Plastic||||Butterfly Wings|Duckie
317|BitToonDAO #416|241.95715602864738|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/416|Crown|None|Silver Lavandie|Cyclops|T-Shirt|Government|Metal||||Devil Wings|Pipe
318|BitToonDAO #43|241.46084592181847|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/43|Cat Earphones|None|Flamingo Zirconie|None|Leather Jacket|Virus|Jelly Bowl||||Skateboard|Pipe
319|BitToonDAO #528|241.35752284747593|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/528|Chubby Unicorn|Blushy|Sunset Rubie|None|None|Cash|Plastic||||Butterfly Wings|None
320|BitToonDAO #501|241.31065115737778|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/501|Santa Hat|None|Billiard Whitie|3D Goggles|T-Shirt|Coin|Ceramic||||Oxygen Tank|Duckie
321|BitToonDAO #99|241.2044867923749|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/99|Reindeer Hoodie|None|Morning Galaxie|None|Leather Jacket|Turtle|Ceramic||||Wooden Staff|None
322|BitToonDAO #183|241.14427540899794|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/183|Devil Horns|None|Sunset Rubie|None|Leather Jacket|Farmer|Jelly Bowl||||Skateboard|Duckie
323|BitToonDAO #73|240.87543056336574|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/73|Cat Earphones|None|Silver Lavandie|3D Goggles|T-Shirt|Dragon|Metal||||Skateboard|Pipe
324|BitToonDAO #475|240.67265879869072|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/475|Pumpkin Head|None|Aurora Mistie|None|T-Shirt|Bot|Plastic||||BitToon Flag|None
325|BitToonDAO #9|239.37409075698005|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/9|Undercut|None|Scalet Bluie|Snorkeling Goggles|Kid's Overalls|Demon|Jelly Bowl||||Guitar|None
326|BitToonDAO #176|238.25453814331064|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/176|Tribal Hat|None|Morning Galaxie|3D Goggles|T-Shirt|Prophet|Metal||||Double Chups|Pacifier
327|BitToonDAO #15|238.1647125005847|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/15|Undercut|None|Billiard Whitie|Cyclops|Leather Jacket|Turtle|Ceramic||||RPG|Duckie
328|BitToonDAO #530|237.98663436868475|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/530|Reindeer Hoodie|None|Ocean Canarie|None|Peony Shirt|Demon|Jelly Bowl||||Wooden Staff|None
329|BitToonDAO #79|237.71713608281215|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/79|Santa Hat|None|Billiard Whitie|Cyclops|T-Shirt|Miner|Ceramic||||Double Chups|Duckie
330|BitToonDAO #404|237.12046276142033|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/404|Farmer Hat|None|Forest Pinkie|None|None|Officer|Ceramic||||BitToon Flag|None
331|BitToonDAO #289|236.46460485572396|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/289|Hat|None|Dusty Cyanie|3D Goggles|T-Shirt|Angel|Plastic||||Backpack|Moustache
332|BitToonDAO #543|236.4277136204122|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/543|Reindeer Hoodie|None|Forest Pinkie|None|Peony Shirt|King|Plastic||||Backpack|None
333|BitToonDAO #483|236.36428689282872|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/483|Tribal Hat|None|Morning Galaxie|Cyclops|T-Shirt|Phoenix|Plastic||||BitToon Flag|Pacifier
334|BitToonDAO #580|235.813093989655|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/580|Pirate Hat|None|Morning Galaxie|Eye Pad|Superstar Sweater|Coin|Plastic||||BitToon Flag|None
335|BitToonDAO #309|234.8328665042737|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/309|Lovelove Headband|None|Elegant Goldie|None|Oriental Uniform|Believer|Jelly Bowl||||Devil Wings|Moustache
336|BitToonDAO #445|234.19926174779576|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/445|Devil Horns|None|Sunset Rubie|None|Leather Jacket|Angel|Jelly Bowl||||Guitar|Duckie
337|BitToonDAO #558|233.51669562270945|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/558|Chubby Unicorn|None|Morning Galaxie|None|Graduation Gown|Blockchain|Plastic||||Backpack|None
338|BitToonDAO #228|233.06399272160536|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/228|Chubby Unicorn|None|Aurora Mistie|None|None|Bot|Plastic||||Devil Wings|None
339|BitToonDAO #373|232.84399439563393|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/373|Robinhood Hat|None|Morning Galaxie|Cyclops|None|Angel|Mummy||||Guitar|None
340|BitToonDAO #72|232.73713608281219|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/72|Hat|None|Billiard Whitie|Cyclops|T-Shirt|Virus|Ceramic||||Double Chups|Duckie
341|BitToonDAO #598|232.45822962803732|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/598|Viking Hat|None|Dusty Cyanie|3D Goggles|T-Shirt|Cypher|Plastic||||Skateboard|Moustache
342|BitToonDAO #537|232.20211250603325|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/537|Chubby Unicorn|None|Autumn Lillie|None|Superstar Sweater|Gold|Metal||||Double Chups|None
