_rank|📈|_name|_score|_link|backdrop|class|clothing|color shade|emotion|eye|head|house of|mouth|name|texture|unique
34|🔴-15|BitToonDAO #301|258.9166296067076|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/301|Angel Wings||None|Morning Galaxie|None|Confused Glasses|Robinhood Hat|Blockchain|Rainbow||Mummy|
35|🟢+567|BitToonDAO #878|258.1750076991341|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/878|Racket||None|Dusty Cyanie|None|Confused Glasses|Viking Hat|Media|Moustache||Mummy|
36|🔴-15|BitToonDAO #71|246.86487645439692|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/71|Guitar||T-Shirt|Black Matterie|None|3D Goggles|Cat Ears|Virus|Rainbow||Plastic|
37|🔴-7|BitToonDAO #280|246.6118397908675|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/280|Skateboard||None|Scalet Bluie|None|None|Football Helmet|Chef|Lollipop||Mummy|
38|🟢+564|BitToonDAO #958|244.5379189219718|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/958|Warrior||Leather Jacket|Dusty Cyanie|None|None|Chef Hat|Blockchain|Bandage||Jelly Bowl|
39|🟢+563|BitToonDAO #612|242.88669414219183|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/612|Warrior||Kid's Overalls|Sunset Rubie|None|Thug Life|Devil Horns|Angel|None||Jelly Bowl|
40|🔴-12|BitToonDAO #44|241.97964417327827|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/44|RPG||None|Black Matterie|None|Confused Glasses|Viking Hat|Seed|Rainbow||Mummy|
41|🔴-23|BitToonDAO #372|240.2599351149942|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/372|RPG||Fur Coat|Allpeach Varitie|None|Snorkeling Goggles|Viking Hat|Empress|None||Jelly Bowl|
42|🔴-28|BitToonDAO #268|238.02179023682933|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/268|Warrior||Fur Coat|Scalet Bluie|None|Snorkeling Goggles|Undercut|Seed|None||Jelly Bowl|
43|🟢+559|BitToonDAO #859|236.92399821991094|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/859|Warrior||Kid's Overalls|Flamingo Zirconie|None|Thug Life|Santa Hat|Empress|None||Jelly Bowl|
44|🟢+558|BitToonDAO #989|236.7457826798266|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/989|Devil Wings||Fur Coat|Ocean Canarie|None|Snorkeling Goggles|Chef Hat|Farmer|None||Jelly Bowl|
45|🔴-23|BitToonDAO #304|236.55686258161796|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/304|Backpack||None|Morning Galaxie|None|Confused Glasses|Robinhood Hat|King|Rainbow||Mummy|
46|🔴-3|BitToonDAO #589|234.5503715330609|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/589|Skateboard||None|Morning Galaxie|None|None|Football Helmet|Chef|Pacifier||Mummy|
47|🟢+555|BitToonDAO #987|232.34991392417547|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/987|Racket||Superstar Sweater|Autumn Lillie|None|None|Pompadour|Bank|None||Plastic|
48|🔴-15|BitToonDAO #552|230.67003144804434|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/552|Skateboard||Oriental Uniform|Christmas Leafie|None|None|Tengu Mask|Gold|Bandage||Clay Dough|
49|🔴-8|BitToonDAO #27|229.31086656262406|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/27|Double Chups||None|Silver Lavandie|None|None|Football Helmet|Bubble|Pipe||Mummy|
50|🟢+552|BitToonDAO #936|228.85482606231182|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/936|Racket||None|Flamingo Zirconie|None|Eyeglasses|Robinhood Hat|Turtle|Leather Mask||Mummy|
51|🔴-6|BitToonDAO #349|228.23501801604837|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/349|Angel Wings||Kid's Overalls|Aurora Mistie|Angry|Eye Pad|Pirate Hat|Bear|None||Plastic|
52|🔴-37|BitToonDAO #346|228.19843648979548|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/346|None||Superstar Sweater|Emerald Jettie|None|Bozo Glasses|None|Knight|None||Plastic|
53|🟢+549|BitToonDAO #629|225.8189459385077|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/629|Guitar||T-Shirt|Elegant Goldie|None|3D Goggles|Cat Ears|Dreamer|Cigar||Plastic|
54|🟢+548|BitToonDAO #977|223.39301531639174|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/977|None||None|Elegant Goldie|None|None|Pompadour|Empress|None||Plastic|
55|🟢+547|BitToonDAO #947|221.99204776680315|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/947|Angel Wings||None|Morning Galaxie|None|Confused Glasses|Robinhood Hat|Dreamer|Pacifier||Mummy|
56|🔴-8|BitToonDAO #291|221.813966921047|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/291|Oxygen Tank||None|Silver Lavandie|None|None|Football Helmet|Market|Pipe||Mummy|
57|🔴-6|BitToonDAO #548|220.9664094231191|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/548|Devil Wings||T-Shirt|Elegant Goldie|None|3D Goggles|Cat Ears|Cash|Cigar||Plastic|
58|🔴-18|BitToonDAO #197|220.52436509777158|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/197|Devil Wings||T-Shirt|Black Matterie|None|Cyclops|Bunny Ears|Coin|Rainbow||Plastic|
59|🟢+12|BitToonDAO #323|219.4286734952643|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/323|Guitar||Oriental Uniform|Christmas Leafie|Angry|None|Reindeer Hoodie|Empress|None||Plastic|
60|🟢+542|BitToonDAO #960|216.260066275108|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/960|Racket||Oriental Uniform|Autumn Lillie|None|None|Pompadour|Angel|None||Plastic|
61|🟢+541|BitToonDAO #688|215.1254767398569|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/688|Devil Wings||None|Dusty Cyanie|None|None|Football Helmet|Miner|None||Mummy|
62|🟢+540|BitToonDAO #682|215.06029626936348|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/682|Double Chups||Gradient Shirt|Billiard Whitie|None|Goggles|Tribal Hat|Tiger|Crow Beak||Ceramic|
63|🟢+539|BitToonDAO #860|214.33016401308237|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/860|RPG||T-Shirt|Black Matterie|None|3D Goggles|Afrohair|Cash|Rainbow||Plastic|
64|🟢+538|BitToonDAO #996|213.8194412778031|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/996|Double Chups||Leather Jacket|Forest Pinkie|None|None|Afrohair|Queen|Bandage||Jelly Bowl|
65|🟢+537|BitToonDAO #836|213.00559986233594|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/836|Skateboard||T-Shirt|Black Matterie|None|3D Goggles|Afrohair|Market|Rainbow||Plastic|
66|🟢+536|BitToonDAO #812|211.43417431812077|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/812|Racket||T-Shirt|Forest Pinkie|None|None|Pompadour|Bot|None||Plastic|
67|🔴-23|BitToonDAO #431|211.28885307516262|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/431|Devil Wings||None|Black Matterie|None|Eyeglasses|Robinhood Hat|Believer|Rainbow||Mummy|
68|🟢+534|BitToonDAO #730|210.12349934860464|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/730|Skateboard||T-Shirt|Black Matterie|None|Goggles|Chef Hat|King|Crow Beak||Jelly Bowl|
69|🟢+533|BitToonDAO #910|209.44295941166942|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/910|BitToon Flag||Fur Coat|Black Matterie|None|Snorkeling Goggles|Cat Earphones|Coin|None||Jelly Bowl|
70|🟢+532|BitToonDAO #820|207.46711040640537|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/820|Oxygen Tank||Gradient Shirt|Emerald Jettie|None|Goggles|Tribal Hat|Queen|Crow Beak||Plastic|
71|🟢+531|BitToonDAO #967|206.7941953782393|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/967|Backpack||Kid's Overalls|Ocean Canarie|None|Thug Life|Chef Hat|Cypher|None||Jelly Bowl|
72|🟢+530|BitToonDAO #619|206.60121858711682|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/619|Warrior||Kid's Overalls|Scalet Bluie|None|Thug Life|Undercut|Coin|None||Jelly Bowl|
73|🔴-13|BitToonDAO #439|205.3451826912764|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/439|RPG||None|Scalet Bluie|None|Confused Glasses|Robinhood Hat|Dreamer|Lollipop||Mummy|
74|🔴-4|BitToonDAO #276|204.60418295225065|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/276|Devil Wings||Kid's Overalls|Christmas Leafie|None|None|Crown|Queen|Bandage||Clay Dough|
75|🟢+35|BitToonDAO #5|204.59338634473423|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/5|RPG||T-Shirt|Billiard Whitie|None|Cyclops|Cap|Miner|Duckie||Ceramic|
76|🔴-19|BitToonDAO #215|204.01545644328925|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/215|BitToon Flag||None|Scalet Bluie|None|Confused Glasses|Viking Hat|Believer|Lollipop||Mummy|
77|🟢+525|BitToonDAO #972|203.73524052922696|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/972|Double Chups||Fur Coat|Scalet Bluie|None|Snorkeling Goggles|Undercut|Government|None||Jelly Bowl|
78|🔴-51|BitToonDAO #242|203.64538363552447|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/242|Warrior||Oriental Uniform|Silver Lavandie|None|None|Crown|Giant|Leather Mask||Clay Dough|
