_rank|📈|_name|_score|_link|backdrop|class|clothing|color shade|emotion|eye|head|house of|mouth|name|texture|unique
510|🔴-207|BitToonDAO #149|126.9878860803266|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/149|Backpack||Kid's Overalls|Autumn Lillie|None|Cyclops|Crown|Gold|None||Clay Dough|
511|🟢+91|BitToonDAO #784|126.9748651863366|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/784|BitToon Flag||T-Shirt|Morning Galaxie|None|3D Goggles|Cat Earphones|Farmer|Pacifier||Metal|
512|🔴-109|BitToonDAO #565|126.87435796066902|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/565|Guitar||None|Morning Galaxie|None|Cyclops|Crown|Chef|Pacifier||Mummy|
513|🔴-277|BitToonDAO #334|126.83650628208545|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/334|Oxygen Tank||None|Aurora Mistie|None|Eye Pad|Pirate Hat|Turtle|None||Plastic|
514|🟢+88|BitToonDAO #994|126.77862545626559|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/994|BitToon Flag||T-Shirt|Flamingo Zirconie|None|Cyclops|Hat|Seed|Leather Mask||Plastic|
515|🔴-258|BitToonDAO #368|126.74607881687669|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/368|Oxygen Tank||Leather Jacket|Morning Galaxie|None|None|Tengu Mask|Coin|Pipe||Jelly Bowl|
516|🟢+86|BitToonDAO #633|126.68854274335358|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/633|Wooden Staff||Count|Ocean Canarie|None|None|Reindeer Hoodie|Dragon|None||Plastic|
517|🔴-170|BitToonDAO #579|126.65874636704834|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/579|Butterfly Wings||Superstar Sweater|Ocean Canarie|None|None|Lovelove Headband|Queen|None||Metal|
518|🔴-256|BitToonDAO #353|126.60095955672021|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/353|BitToon Flag||T-Shirt|Billiard Whitie|None|3D Goggles|Viking Hat|Pirate|Duckie||Ceramic|
519|🟢+83|BitToonDAO #849|126.50981995691782|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/849|Oxygen Tank||T-Shirt|Scalet Bluie|None|Bozo Glasses|Undercut|Vampire|None||Jelly Bowl|
520|🔴-199|BitToonDAO #99|126.24825611411029|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/99|Wooden Staff||Leather Jacket|Morning Galaxie|None|None|Reindeer Hoodie|Turtle|None||Ceramic|
521|🟢+81|BitToonDAO #753|126.15610948479865|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/753|Oxygen Tank||Superstar Sweater|Silver Lavandie|None|Eyeglasses|Chubby Unicorn|Bear|Crow Beak||Metal|
522|🟢+80|BitToonDAO #653|126.1066939334312|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/653|Double Chups||None|Autumn Lillie|None|Eyeglasses|Chubby Unicorn|Gold|Pacifier||Plastic|
523|🟢+79|BitToonDAO #822|125.80421967806755|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/822|Devil Wings||T-Shirt|Billiard Whitie|None|Cyclops|Hat|Believer|Duckie||Ceramic|
524|🔴-239|BitToonDAO #140|125.50547733361364|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/140|BitToon Flag||Oriental Uniform|Morning Galaxie|None|None|None|Queen|Pipe||Plastic|
525|🔴-306|BitToonDAO #477|125.25226472161714|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/477|BitToon Flag||Peony Shirt|Ocean Canarie|None|Eye Pad|Pirate Hat|Vampire|None||Plastic|
526|🔴-225|BitToonDAO #162|125.21013442110122|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/162|Double Chups||Superstar Sweater|Autumn Lillie|None|None|Witch Hat|Cypher|None||Metal|
527|🔴-186|BitToonDAO #598|125.12982940403785|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/598|Skateboard||T-Shirt|Dusty Cyanie|None|3D Goggles|Viking Hat|Cypher|Moustache||Plastic|
528|🔴-308|BitToonDAO #135|125.07934753193527|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/135|BitToon Flag||Oriental Uniform|Silver Lavandie|None|Eye Pad|Pirate Hat|Government|None||Plastic|
529|🔴-209|BitToonDAO #501|124.90376042344371|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/501|Oxygen Tank||T-Shirt|Billiard Whitie|None|3D Goggles|Santa Hat|Coin|Duckie||Ceramic|
530|🟢+72|BitToonDAO #722|124.85709663880502|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/722|Backpack||Leather Jacket|Christmas Leafie|None|None|Chubby Unicorn|King|None||Plastic|
531|🔴-241|BitToonDAO #64|124.8263724947444|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/64|Backpack||T-Shirt|Silver Lavandie|None|Cyclops|Santa Hat|King|Pipe||Metal|
532|🔴-197|BitToonDAO #309|124.73562674768442|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/309|Devil Wings||Oriental Uniform|Elegant Goldie|None|None|Lovelove Headband|Believer|Moustache||Jelly Bowl|
533|🔴-261|BitToonDAO #221|124.73029470662654|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/221|Guitar||Leather Jacket|Morning Galaxie|None|Bozo Glasses|None|Bear|None||Plastic|
534|🟢+68|BitToonDAO #923|124.58129153340245|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/923|Butterfly Wings||Oriental Uniform|Billiard Whitie|None|None|Farmer Hat|Empress|Duckie||Plastic|
535|🔴-221|BitToonDAO #31|124.48753961828474|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/31|BitToon Flag||Superstar Sweater|Forest Pinkie|None|Eyeglasses|Witch Hat|Giant|None||Metal|
536|🟢+66|BitToonDAO #978|124.32354389183828|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/978|Double Chups||Kid's Overalls|Autumn Lillie|None|None|Reindeer Hoodie|Queen|None||Jelly Bowl|
537|🟢+65|BitToonDAO #723|124.31479772204437|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/723|Butterfly Wings||None|Allpeach Varitie|None|None|Farmer Hat|Bear|Pipe||Ceramic|
538|🔴-255|BitToonDAO #573|124.25945674312537|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/573|RPG||T-Shirt|Morning Galaxie|None|Cyclops|Hat|Media|Pacifier||Plastic|
539|🟢+63|BitToonDAO #847|124.17803169614535|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/847|BitToon Flag||T-Shirt|Scalet Bluie|None|Eyeglasses|Tengu Mask|Virus|None||Jelly Bowl|
540|🔴-317|BitToonDAO #205|123.91117839213287|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/205|Double Chups||T-Shirt|Black Matterie|None|Cyclops|Cat Earphones|Miner|None||Jelly Bowl|
541|🟢+61|BitToonDAO #739|123.90549962682786|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/739|Oxygen Tank||Count|Morning Galaxie|None|None|Witch Hat|Tiger|Crow Beak||Plastic|
542|🟢+60|BitToonDAO #749|123.73047674506088|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/749|Backpack||Superstar Sweater|Aurora Mistie|None|None|Chubby Unicorn|Phoenix|None||Plastic|
543|🟢+59|BitToonDAO #884|123.66994447109211|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/884|Double Chups||Kid's Overalls|Emerald Jettie|None|Eye Pad|Pirate Hat|Bot|None||Plastic|
544|🟢+58|BitToonDAO #926|123.55664158293226|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/926|Guitar||Superstar Sweater|Allpeach Varitie|None|Eyeglasses|Witch Hat|Prophet|None||Plastic|
545|🟢+57|BitToonDAO #829|123.52974931720483|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/829|Guitar||Superstar Sweater|Allpeach Varitie|None|Eyeglasses|Lovelove Headband|Seed|None||Plastic|
546|🟢+56|BitToonDAO #796|123.34104626797796|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/796|Guitar||Peony Shirt|Scalet Bluie|None|None|None|Bubble|Pipe||Plastic|
547|🟢+55|BitToonDAO #738|123.33769779620702|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/738|Devil Wings||T-Shirt|Billiard Whitie|None|3D Goggles|Undercut|Media|Duckie||Ceramic|
548|🔴-290|BitToonDAO #311|123.3260729158052|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/311|RPG||T-Shirt|Morning Galaxie|None|3D Goggles|Cat Earphones|Dragon|Pacifier||Metal|
549|🟢+53|BitToonDAO #877|123.04437837919843|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/877|BitToon Flag||Oriental Uniform|Autumn Lillie|None|Eyeglasses|Chubby Unicorn|Queen|None||Plastic|
550|🔴-243|BitToonDAO #42|122.88275688979517|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/42|Skateboard||Leather Jacket|Billiard Whitie|None|Cyclops|Undercut|Believer|Duckie||Ceramic|
551|🔴-159|BitToonDAO #302|122.80771108287668|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/302|Skateboard||T-Shirt|Billiard Whitie|None|Cyclops|Santa Hat|Demon|Duckie||Ceramic|
552|🔴-270|BitToonDAO #211|122.70020137431115|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/211|Backpack||T-Shirt|Forest Pinkie|None|None|Frog Head|Government|Pipe||Plastic|
553|🟢+49|BitToonDAO #929|122.48472746450625|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/929|BitToon Flag||T-Shirt|Dusty Cyanie|None|Cyclops|Santa Hat|Phoenix|Moustache||Plastic|
554|🔴-254|BitToonDAO #532|122.47399719143769|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/532|Oxygen Tank||Kid's Overalls|Autumn Lillie|None|Cyclops|Crown|Turtle|None||Clay Dough|
555|🟢+47|BitToonDAO #670|122.32159845641851|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/670|BitToon Flag||Oriental Uniform|Autumn Lillie|None|Eyeglasses|Lovelove Headband|Knight|None||Plastic|
556|🟢+46|BitToonDAO #772|122.31454350078084|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/772|Devil Wings||Oriental Uniform|Autumn Lillie|None|None|Frog Head|Bot|None||Plastic|
557|🟢+45|BitToonDAO #945|122.15585236315802|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/945|Skateboard||None|Elegant Goldie|None|Eyeglasses|Robinhood Hat|Dragon|None||Mummy|
558|🟢+44|BitToonDAO #810|122.12413091322016|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/810|Skateboard||T-Shirt|Billiard Whitie|None|3D Goggles|Hat|Market|Duckie||Ceramic|
559|🔴-165|BitToonDAO #325|122.10286346891722|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/325|Backpack||T-Shirt|Billiard Whitie|None|Cyclops|Crown|Chef|Duckie||Ceramic|
560|🟢+42|BitToonDAO #991|122.05349167359398|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/991|Backpack||T-Shirt|Billiard Whitie|None|Cyclops|Hat|Market|Duckie||Metal|
561|🔴-314|BitToonDAO #341|121.9801749384769|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/341|Butterfly Wings||Superstar Sweater|Ocean Canarie|None|None|Farmer Hat|Phoenix|None||Metal|
562|🟢+40|BitToonDAO #623|121.96101730556316|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/623|Oxygen Tank||Count|Sunset Rubie|None|None|None|Prophet|Pipe||Plastic|
563|🔴-173|BitToonDAO #126|121.89908092613189|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/126|Backpack||T-Shirt|Forest Pinkie|None|None|Reindeer Hoodie|Empress|Pipe||Plastic|
564|🔴-194|BitToonDAO #389|121.89898054870861|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/389|Oxygen Tank||Kid's Overalls|Ocean Canarie|None|None|Crown|Blockchain|Crow Beak||Clay Dough|
565|🔴-203|BitToonDAO #554|121.51342305260158|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/554|Devil Wings||Oriental Uniform|Autumn Lillie|None|None|Reindeer Hoodie|Tiger|None||Plastic|
566|🔴-149|BitToonDAO #567|121.46893294386683|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/567|Butterfly Wings||Leather Jacket|Ocean Canarie|None|None|Pumpkin Head|Knight|Pacifier||Metal|
567|🟢+35|BitToonDAO #939|121.43294445412845|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/939|Devil Wings||None|Autumn Lillie|None|Eye Pad|Pirate Hat|Virus|None||Plastic|
568|🔴-259|BitToonDAO #492|121.21539279411533|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/492|Backpack||Oriental Uniform|Billiard Whitie|None|None|Crown|Pirate|Duckie||Clay Dough|
569|🔴-149|BitToonDAO #561|120.95382857236709|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/561|Butterfly Wings||None|Allpeach Varitie|None|None|Pumpkin Head|Bank|Pipe||Plastic|
570|🔴-300|BitToonDAO #327|120.92108076786158|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/327|BitToon Flag||Oriental Uniform|Autumn Lillie|None|None|Farmer Hat|Bubble|None||Plastic|
571|🔴-174|BitToonDAO #485|120.77458462797809|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/485|Devil Wings||Kid's Overalls|Emerald Jettie|None|None|Pumpkin Head|Miner|Pacifier||Plastic|
572|🔴-229|BitToonDAO #279|120.74144231988981|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/279|Butterfly Wings||Leather Jacket|Cosmic Lovie|None|None|Frog Head|Farmer|None||Plastic|
573|🔴-124|BitToonDAO #137|120.7001997324953|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/137|Double Chups||T-Shirt|Silver Lavandie|None|3D Goggles|Hat|Dreamer|Pipe||Metal|
574|🔴-198|BitToonDAO #237|120.55414949120375|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/237|Double Chups||T-Shirt|Flamingo Zirconie|None|Cyclops|Crown|Empress|Crow Beak||Plastic|
575|🔴-387|BitToonDAO #275|120.45565011070413|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/275|BitToon Flag||Leather Jacket|Black Matterie|None|None|Cat Earphones|Pirate|Duckie||Jelly Bowl|
576|🔴-196|BitToonDAO #376|120.33946206429948|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/376|Skateboard||T-Shirt|Morning Galaxie|None|3D Goggles|Viking Hat|Cash|Pacifier||Plastic|
577|🟢+25|BitToonDAO #626|120.28135715035373|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/626|BitToon Flag||T-Shirt|Black Matterie|None|Eyeglasses|Cat Earphones|Turtle|None||Jelly Bowl|
578|🟢+24|BitToonDAO #726|120.02748551557933|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/726|Wooden Staff||Kid's Overalls|Dusty Cyanie|None|None|Chubby Unicorn|Bot|None||Jelly Bowl|
579|🔴-196|BitToonDAO #571|119.9526542248306|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/571|Butterfly Wings||Peony Shirt|Scalet Bluie|None|Eyeglasses|Lovelove Headband|Queen|None||Plastic|
580|🟢+22|BitToonDAO #674|119.92046169839756|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/674|Double Chups||Peony Shirt|Ocean Canarie|None|Eye Pad|Pirate Hat|Turtle|None||Plastic|
581|🔴-332|BitToonDAO #451|119.8100760712135|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/451|Guitar||Peony Shirt|Sunset Rubie|None|Eye Pad|Pirate Hat|Vampire|None||Plastic|
582|🔴-309|BitToonDAO #587|119.62794254305358|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/587|BitToon Flag||T-Shirt|Silver Lavandie|None|Cyclops|Hat|Bull|Pipe||Metal|
583|🔴-209|BitToonDAO #159|119.62601545271544|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/159|Guitar||T-Shirt|Billiard Whitie|None|Cyclops|Hat|Farmer|Duckie||Ceramic|
584|🔴-238|BitToonDAO #511|119.59707033468361|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/511|Backpack||Kid's Overalls|Ocean Canarie|None|Eye Pad|Pirate Hat|Dreamer|None||Plastic|
585|🟢+17|BitToonDAO #970|119.54287452177829|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/970|BitToon Flag||Leather Jacket|Flamingo Zirconie|None|Eye Pad|Pirate Hat|Chef|Pipe||Plastic|
586|🔴-260|BitToonDAO #176|119.51639549645036|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/176|Double Chups||T-Shirt|Morning Galaxie|None|3D Goggles|Tribal Hat|Prophet|Pacifier||Metal|
587|🔴-196|BitToonDAO #424|119.46247382494785|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/424|Guitar||T-Shirt|Silver Lavandie|None|Cyclops|Robinhood Hat|Bank|Pipe||Metal|
588|🔴-233|BitToonDAO #464|119.4549800859263|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/464|Guitar||T-Shirt|Billiard Whitie|None|3D Goggles|Hat|Market|Duckie||Ceramic|
589|🔴-163|BitToonDAO #426|119.44612475926546|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/426|BitToon Flag||Superstar Sweater|Forest Pinkie|None|None|Pumpkin Head|Knight|None||Metal|
590|🔴-146|BitToonDAO #261|119.40731115693751|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/261|Skateboard||T-Shirt|Morning Galaxie|None|Cyclops|Hat|Demon|Pacifier||Metal|
591|🔴-251|BitToonDAO #72|119.23019190028977|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/72|Double Chups||T-Shirt|Billiard Whitie|None|Cyclops|Hat|Virus|Duckie||Ceramic|
592|🔴-188|BitToonDAO #399|119.21397458002834|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/399|RPG||T-Shirt|Billiard Whitie|None|Cyclops|Crown|Miner|Duckie||Ceramic|
593|🔴-262|BitToonDAO #289|119.08568835765166|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/289|Backpack||T-Shirt|Dusty Cyanie|None|3D Goggles|Hat|Angel|Moustache||Plastic|
594|🔴-246|BitToonDAO #193|119.07675473972495|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/193|Skateboard||Oriental Uniform|Autumn Lillie|None|None|Undercut|Tiger|None||Plastic|
595|🟢+7|BitToonDAO #668|119.00309014508184|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/668|Guitar||T-Shirt|Aurora Mistie|None|Eye Pad|Pirate Hat|Prophet|None||Plastic|
596|🔴-356|BitToonDAO #177|118.7302185344418|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/177|RPG||Kid's Overalls|Sunset Rubie|None|None|None|Phoenix|Pipe||Plastic|
597|🟢+5|BitToonDAO #816|118.72971466953508|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/816|RPG||Leather Jacket|Billiard Whitie|None|Eye Pad|Pirate Hat|Dreamer|None||Plastic|
598|🔴-167|BitToonDAO #329|118.65849315253827|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/329|Oxygen Tank||Oriental Uniform|Billiard Whitie|None|None|Crown|Demon|Duckie||Clay Dough|
599|🔴-257|BitToonDAO #537|118.64456197628611|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/537|Double Chups||Superstar Sweater|Autumn Lillie|None|None|Chubby Unicorn|Gold|None||Metal|
600|🔴-256|BitToonDAO #488|118.50602986351288|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/488|Guitar||None|Silver Lavandie|None|None|None|Tiger|Pipe||Plastic|
601|🟢+1|BitToonDAO #795|118.45859844560911|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/795|BitToon Flag||T-Shirt|Billiard Whitie|None|3D Goggles|Cat Earphones|Bear|Duckie||Ceramic|
602|🔵|BitToonDAO #657|118.42239857643958|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/657|Guitar||None|Flamingo Zirconie|None|None|Farmer Hat|Empress|None||Clay Dough|
603|🔴-276|BitToonDAO #15|118.4146328684986|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/15|RPG||Leather Jacket|Billiard Whitie|None|Cyclops|Undercut|Turtle|Duckie||Ceramic|
604|🔴-315|BitToonDAO #473|118.40868081904276|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/473|Wooden Staff||T-Shirt|Dusty Cyanie|None|Eye Pad|Chubby Unicorn|Prophet|None||Plastic|
605|🔴-292|BitToonDAO #495|118.26051967591698|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/495|Skateboard||Peony Shirt|Scalet Bluie|None|None|None|Blockchain|Pipe||Plastic|
606|🔴-213|BitToonDAO #214|118.18157100827099|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/214|Guitar||T-Shirt|Billiard Whitie|None|Cyclops|Santa Hat|Cash|Duckie||Ceramic|
607|🔴-5|BitToonDAO #870|118.15954440520477|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/870|Oxygen Tank||T-Shirt|Cosmic Lovie|None|Cyclops|Crown|Pirate|None||Jelly Bowl|
608|🔴-231|BitToonDAO #300|118.04884975351233|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/300|Wooden Staff||T-Shirt|Forest Pinkie|None|None|Frog Head|Coin|None||Plastic|
609|🔴-7|BitToonDAO #862|117.85902203777374|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/862|Oxygen Tank||T-Shirt|Sunset Rubie|None|3D Goggles|Cat Earphones|Pirate|Crow Beak||Plastic|
610|🔴-8|BitToonDAO #694|117.82928159530383|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/694|Devil Wings||None|Silver Lavandie|None|Cyclops|Crown|Giant|Pipe||Mummy|
611|🔴-309|BitToonDAO #216|117.48616856787693|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/216|Backpack||Peony Shirt|Forest Pinkie|None|None|Frog Head|Phoenix|None||Plastic|
612|🔴-10|BitToonDAO #660|117.47242118197008|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/660|Skateboard||T-Shirt|Billiard Whitie|None|Cyclops|Crown|Bubble|Duckie||Ceramic|
613|🔴-252|BitToonDAO #390|117.47079606515332|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/390|BitToon Flag||T-Shirt|Silver Lavandie|None|3D Goggles|Santa Hat|Prophet|Pipe||Metal|
614|🔴-12|BitToonDAO #740|117.39151751458138|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/740|Backpack||Kid's Overalls|Morning Galaxie|None|None|None|Bank|Pipe||Plastic|
615|🔴-331|BitToonDAO #171|117.22797024820517|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/171|Double Chups||Leather Jacket|Dusty Cyanie|None|Cyclops|Undercut|Phoenix|Moustache||Plastic|
616|🔴-201|BitToonDAO #108|117.20432847793727|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/108|Butterfly Wings||Count|Ocean Canarie|None|None|Pumpkin Head|Queen|None||Plastic|
617|🔴-293|BitToonDAO #475|117.189955835964|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/475|BitToon Flag||T-Shirt|Aurora Mistie|None|None|Pumpkin Head|Bot|None||Plastic|
618|🔴-16|BitToonDAO #943|117.16763068963803|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/943|Butterfly Wings||T-Shirt|Sunset Rubie|None|Eyeglasses|Lovelove Headband|Believer|None||Clay Dough|
619|🔴-179|BitToonDAO #110|116.98629115670767|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/110|Backpack||Kid's Overalls|Forest Pinkie|None|None|Frog Head|Dreamer|None||Ceramic|
