_rank|📈|_name|_score|_link|backdrop|clothing|color shade|emotion|eye|head|house of|mouth|name|texture|unique
1754|🔴-4|BitToonDAO #1508|106.12219996100033|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/1508|None|None|Scalet Bluie|None|None|Frog Head|Blockchain|None||Plastic|
1755|🔴-26|BitToonDAO #666|106.00582594743548|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/666|Skateboard|Kid's Overalls|Morning Galaxie|None|Bozo Glasses|None|Bank|None||Plastic|
1756|🔴-36|BitToonDAO #1182|105.98229890916333|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/1182|Oxygen Tank|T-Shirt|Ocean Canarie|None|None|Pumpkin Head|Demon|None||Plastic|
1757|🔴-6|BitToonDAO #1547|105.96965491683044|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/1547|BitToon Flag|Peony Shirt|Dusty Cyanie|None|None|Frog Head|Seed|Pipe||Plastic|
1758|🔴-5|BitToonDAO #456|105.95505423250079|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/456|Backpack|Kid's Overalls|Dusty Cyanie|None|None|Chubby Unicorn|Turtle|None||Clay Dough|
1759|🔴-2|BitToonDAO #1248|105.85244741953383|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/1248|None|T-Shirt|Dusty Cyanie|None|None|Reindeer Hoodie|Believer|None||Plastic|
1760|🔴-2|BitToonDAO #1924|105.82186362863172|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/1924|Backpack|Oriental Uniform|Emerald Jettie|None|None|Viking Hat|Blockchain|None||Ceramic|
1761|🔴-28|BitToonDAO #455|105.78673454795687|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/455|Butterfly Wings|T-Shirt|Dusty Cyanie|None|Eyeglasses|Chubby Unicorn|Bull|None||Plastic|
1762|🔴-22|BitToonDAO #1747|105.77944039842814|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/1747|Guitar|Leather Jacket|Scalet Bluie|None|None|Undercut|Dragon|Leather Mask||Jelly Bowl|
1763|🔴-31|BitToonDAO #150|105.70285843816659|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/150|Devil Wings|Oriental Uniform|Autumn Lillie|None|None|Cat Earphones|Dragon|None||Plastic|
1764|🔴-3|BitToonDAO #23|105.68310631795038|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/23|Butterfly Wings|Kid's Overalls|Flamingo Zirconie|None|Cyclops|Lovelove Headband|Blockchain|None||Plastic|
1765|🔴-17|BitToonDAO #605|105.66421311248294|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/605|Oxygen Tank|None|Flamingo Zirconie|None|Bozo Glasses|None|Gold|None||Plastic|
1766|🔴-22|BitToonDAO #872|105.64727575505682|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/872|Oxygen Tank|Kid's Overalls|Emerald Jettie|None|Eyeglasses|Chubby Unicorn|Market|None||Plastic|
1767|🔴-12|BitToonDAO #203|105.62722160620905|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/203|Oxygen Tank|Kid's Overalls|Autumn Lillie|None|None|Chubby Unicorn|Farmer|None||Jelly Bowl|
1768|🔴-6|BitToonDAO #896|105.58078483479115|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/896|Double Chups|Leather Jacket|Elegant Goldie|None|None|Pompadour|Bubble|None||Plastic|
