rank|📈|name|score|link|background|body|clothes|eyewear|head|mouth
192|🔴-6|Nerd Ape Dao #1303|151.97970375147653|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/1303|Beige|White|Black jacket|Solar_beam|Newsboy cap|Grin
193|🔴-4|Nerd Ape Dao #1368|151.72174314120423|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/1368|Light purple|Light brown|Black turtleneck|Red Cat|Pirate hat|Grin
194|🔵|Nerd Ape Dao #829|151.616154397693|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/829|Green mint|Red|Banana hawaii|Wide_eyes|Black top hat|Smile
195|🟢+2|Nerd Ape Dao #1295|151.57107250360542|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/1295|Light purple|Dark brown|Black tee|Gold|Gold crown|Open
196|🟢+2|Nerd Ape Dao #1285|151.46698147962525|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/1285|Light purple|Cream|Dark blue suit|Shy|Gold crown|Burger
197|🟢+3|Nerd Ape Dao #311|151.34803080452266|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/311|Green mint|Tiger|Brown coat|Dizzy|Pirate hat|Gold Grillz
198|🟢+4|Nerd Ape Dao #297|151.1651587173784|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/297|Green mint|Zombie|Black leather|Faded|None|Open
199|🔴-3|Nerd Ape Dao #1312|151.1587990829523|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/1312|Blue|Water|Banana hawaii|White Round|Adventure hat|Burger
200|🟢+1|Nerd Ape Dao #874|151.15724639539755|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/874|Red|Lav|Tech jacket|Fasion|Pink bucket|Gum
201|🟢+3|Nerd Ape Dao #1085|151.11420473367622|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/1085|Light purple|Zombie|White shirt ribbon|Angry|Fastfood|Gold Grillz
202|🔴-9|Nerd Ape Dao #748|150.88559011155857|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/748|Green mint|Light brown|Lab|Dizzy|Blue cap|Pipe
203|🟢+5|Nerd Ape Dao #1117|150.7172275589977|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/1117|Red|Lav|Brown vest|White Round|Blue headscarf|Mouchet
204|🔴-1|Nerd Ape Dao #261|150.7099839973792|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/261|Green mint|Robot|Red singlet|Dizzy|None|Smile
205|🟢+1|Nerd Ape Dao #990|150.70157496454814|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/990|Yellow|Zombie|Flower Hawaii|Wide_eyes|Pink bucket|Cigarette
206|🟢+3|Nerd Ape Dao #626|150.67143742351408|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/626|Red|Zombie|Judo|Dizzy|Rasta hat|Gum
