rank|name|score|link|Background|Spotlight|Particles|Left Hand|Head|Eyes|Mouth|Hairstyle|Right Hand|Outfits
47|Chibism #3221|1212.3510221221381|https://quixotic.io/asset/0xF811F2D6256C436Ea092B2401FE175167E4BC766/3221|Blue|Spotlight|Saturn|Rock|Head|Kyaaa|Kuhahaha|Leave-like Blue|Chill|Hoodie Tee Deep Blue
48|Chibism #3174|1212.1632026921372|https://quixotic.io/asset/0xF811F2D6256C436Ea092B2401FE175167E4BC766/3174|Rainbow|Spotlight|Broken Heart|Rock|Head|Intense|Kuhahaha|Small Pigtails Blue|Chill|Tee And Shirt Orange
49|Chibism #1544|1208.878233630092|https://quixotic.io/asset/0xF811F2D6256C436Ea092B2401FE175167E4BC766/1544|Rainbow|Spotlight|Music Notes|Orange  Flower|Head|Cry|Eh|Bowl Cut Blue|Chill|Tee And Shirt Purple
50|Chibism #2062|1199.0057050831085|https://quixotic.io/asset/0xF811F2D6256C436Ea092B2401FE175167E4BC766/2062|Rainbow|Spotlight|Shiny|Orange Lolipop|Head|Ashamed|Heh|Regent Purple|Hold|Knit Vest Pink
51|Chibism #2071|1198.4074308831393|https://quixotic.io/asset/0xF811F2D6256C436Ea092B2401FE175167E4BC766/2071|Rainbow|Spotlight|Music Notes|Paper|Head|Cry|Smile|Ponytail Bangs Brown|Hold|Hoodie Tee Deep Blue
52|Chibism #316|1197.1345129137776|https://quixotic.io/asset/0xF811F2D6256C436Ea092B2401FE175167E4BC766/316|Rainbow|Spotlight|Broken Heart|Paper|Head|Eh|Tch|Long Hair Blonde|Hold|Hoodie Tee Brown
53|Chibism #1340|1189.6992890668853|https://quixotic.io/asset/0xF811F2D6256C436Ea092B2401FE175167E4BC766/1340|Pink|Spotlight|Saturn|Rock|Head|Indifferent|Tch|With Hair Roller Orange|Chill|Knit Vest Black
54|Chibism #3034|1189.2632131864298|https://quixotic.io/asset/0xF811F2D6256C436Ea092B2401FE175167E4BC766/3034|Blue|Spotlight|Broken Heart|Purple Flower|Head|Indifferent|Paranoid|Spiky Purple|Chill|Knit Vest Black
55|Chibism #711|1177.389220801271|https://quixotic.io/asset/0xF811F2D6256C436Ea092B2401FE175167E4BC766/711|Pink|Spotlight|Sun Shine|Paper|Head|Eh|Dumb-foundded|With Hair Roller Orange|Chill|Oversized Shirt Yellow
56|Chibism #134|1171.0147627555382|https://quixotic.io/asset/0xF811F2D6256C436Ea092B2401FE175167E4BC766/134|Rainbow|Spotlight|Sun Shine|Orange Lolipop|Head|Cry|Tch|Ponytail Bangs Purple|Hold|Tee Rainy
57|Chibism #2506|1169.6504505730104|https://quixotic.io/asset/0xF811F2D6256C436Ea092B2401FE175167E4BC766/2506|Orange|Spotlight|Heart|Paper|Head|Chill|Playful|Small Pigtails Blue|Hold|Knit Vest Nature
58|Chibism #2194|1169.3543484815566|https://quixotic.io/asset/0xF811F2D6256C436Ea092B2401FE175167E4BC766/2194|Rainbow|Spotlight|Sun Shine|Rock|Head|Inspired|Growling|Leave-like Blue|Chill|Hoodie Tee Deep Blue
59|Chibism #946|1167.9591649273657|https://quixotic.io/asset/0xF811F2D6256C436Ea092B2401FE175167E4BC766/946|Rainbow|Spotlight|Sun Shine|Rock|Head|Ashamed|Paranoid|Highlighted Pink|Hold|Oversized Shirt Purple
60|Chibism #2110|1166.6817123612736|https://quixotic.io/asset/0xF811F2D6256C436Ea092B2401FE175167E4BC766/2110|Green|Spotlight|Butterfly|Orange Lolipop|Head|Eh|Eh|Short Spiky Blue|Hold|Tee And Shirt Grey
61|Chibism #2065|1165.121806526139|https://quixotic.io/asset/0xF811F2D6256C436Ea092B2401FE175167E4BC766/2065|Green|Spotlight|Saturn|Green Lolipop|Head|Happy|Kuhahaha|Bowl Cut Pink|Hold|Tee Im Ded
62|Chibism #74|1164.3645878902269|https://quixotic.io/asset/0xF811F2D6256C436Ea092B2401FE175167E4BC766/74|Pink|Spotlight|Saturn|Green Flower|Head|Aggressive|Growling|Regent Orange|Chill|Tee Im Hot
63|Chibism #2494|1159.6447745302758|https://quixotic.io/asset/0xF811F2D6256C436Ea092B2401FE175167E4BC766/2494|Rainbow|Spotlight|Music Notes|Paper|Head|Dumb-founded|Dumb-foundded|Regent Orange|Hold|Oversized Shirt Green
64|Chibism #357|1159.502568504444|https://quixotic.io/asset/0xF811F2D6256C436Ea092B2401FE175167E4BC766/357|Orange|Spotlight|Sun Shine|Purple Lolipop|Head|Inspired|Kuhahaha|Leave-like Orange|Chill|Oversized Shirt Orange
65|Chibism #531|1155.313704933643|https://quixotic.io/asset/0xF811F2D6256C436Ea092B2401FE175167E4BC766/531|Rainbow|Spotlight|Sun Shine|Green Flower|Head|Confused|Irritated|Regent Purple|Chill|Formal
66|Chibism #1645|1148.977892720669|https://quixotic.io/asset/0xF811F2D6256C436Ea092B2401FE175167E4BC766/1645|Orange|Spotlight|Music Notes|Green Flower|Head|Kyaaa|Dumb-foundded|Regent Purple|Hold|Knit Vest Wave
67|Chibism #888|1144.5882581730793|https://quixotic.io/asset/0xF811F2D6256C436Ea092B2401FE175167E4BC766/888|Pink|Spotlight|Saturn|Paper|Head|Crush|Paranoid|Ponytail Bangs Pink|Chill|Tee And Shirt Pink
68|Chibism #1307|1143.024143299711|https://quixotic.io/asset/0xF811F2D6256C436Ea092B2401FE175167E4BC766/1307|Pink|Spotlight|Broken Heart|Rock|Head|Crush|Tch|Long Hair Blonde|Chill|Tee And Shirt Pink
69|Chibism #1458|1142.138780657696|https://quixotic.io/asset/0xF811F2D6256C436Ea092B2401FE175167E4BC766/1458|Rainbow|Spotlight|Butterfly|Rock|Head|Inspired|Ecstatic|Casual Purple|Chill|Sweater Strike
70|Chibism #2445|1140.4711992596501|https://quixotic.io/asset/0xF811F2D6256C436Ea092B2401FE175167E4BC766/2445|Rainbow|Spotlight|Sun Shine|Paper|Head|Indifferent|Growling|With Hair Roller Pink|Hold|Tee And Shirt Beige
71|Chibism #2677|1140.2406735256136|https://quixotic.io/asset/0xF811F2D6256C436Ea092B2401FE175167E4BC766/2677|Rainbow|Spotlight|Shiny|Green Lolipop|Head|Kyaaa|Paranoid|Casual Pink|Chill|Knit Vest Yellow
72|Chibism #970|1137.6119319557504|https://quixotic.io/asset/0xF811F2D6256C436Ea092B2401FE175167E4BC766/970|Blue|Spotlight|Music Notes|Green Lolipop|Head|Confused|Paranoid|Casual Green|Chill|Tee And Shirt Purple
73|Chibism #1302|1136.4943530524115|https://quixotic.io/asset/0xF811F2D6256C436Ea092B2401FE175167E4BC766/1302|Green|Spotlight|Broken Heart|Orange  Flower|Head|Happy|Kuhahaha|Top Knot Green|Hold|Knit Vest Cross
74|Chibism #2668|1131.4439609967894|https://quixotic.io/asset/0xF811F2D6256C436Ea092B2401FE175167E4BC766/2668|Rainbow|Spotlight|Music Notes|Scissors|Head|Dumb-founded|Dumb-foundded|With Hair Roller Pink|Chill|Tee And Shirt Grey
75|Chibism #1132|1126.2504195061204|https://quixotic.io/asset/0xF811F2D6256C436Ea092B2401FE175167E4BC766/1132|Rainbow|Spotlight|Heart|Rock|Head|Cry|Hohoho|Highlighted Pink|Hold|Sweater Strike
76|Chibism #1710|1124.1041778805757|https://quixotic.io/asset/0xF811F2D6256C436Ea092B2401FE175167E4BC766/1710|Green|Spotlight|Music Notes|Paper|Head|Cry|Growling|Small Pigtails Blue|Hold|Oversized Shirt Purple
77|Chibism #2369|1119.8591314054752|https://quixotic.io/asset/0xF811F2D6256C436Ea092B2401FE175167E4BC766/2369|Pink|Spotlight|Heart|Rock|Head|Dumb-founded|Heh|Spiky Blue|Chill|Hoodie Tee Deep Blue
78|Chibism #3067|1118.40313433762|https://quixotic.io/asset/0xF811F2D6256C436Ea092B2401FE175167E4BC766/3067|Pink|Spotlight|Shiny|Grey Lolipop|Head|Chill|Paranoid|Leave-like Orange|Hold|Tshirt Purple
79|Chibism #1050|1117.9881281137|https://quixotic.io/asset/0xF811F2D6256C436Ea092B2401FE175167E4BC766/1050|Orange|Spotlight|Music Notes|Paper|Head|Dumb-founded|Growling|Top Knot Green|Chill|Tee Scary
80|Chibism #2484|1117.901053562965|https://quixotic.io/asset/0xF811F2D6256C436Ea092B2401FE175167E4BC766/2484|Blue|Spotlight|Music Notes|Purple Flower|Head|Indifferent|Growling|Double Buns Pink|Hold|Knit Vest Green
81|Chibism #3305|1109.892826695586|https://quixotic.io/asset/0xF811F2D6256C436Ea092B2401FE175167E4BC766/3305|Rainbow|Spotlight|Shiny|Grey Lolipop|Head|Hehehe|Growling|Regent Purple|Hold|Sweater Swift
82|Chibism #72|1100.6642904509285|https://quixotic.io/asset/0xF811F2D6256C436Ea092B2401FE175167E4BC766/72|Purple|Spotlight|Heart|Purple Flower|Head|Indifferent|Dumb-foundded|Regent Green|Hold|Sweater Blue
83|Chibism #533|1100.6499265847078|https://quixotic.io/asset/0xF811F2D6256C436Ea092B2401FE175167E4BC766/533|Rainbow|Spotlight|Saturn|Scissors|Head|Happy|Hohoho|Regent Orange|Chill|Tshirt Blue
84|Chibism #2577|1097.481196438509|https://quixotic.io/asset/0xF811F2D6256C436Ea092B2401FE175167E4BC766/2577|Pink|Spotlight|Broken Heart|Rock|Head|Intense|Playful|Long Hair Purple|Hold|Tee And Shirt Purple
85|Chibism #1563|1095.91148028571|https://quixotic.io/asset/0xF811F2D6256C436Ea092B2401FE175167E4BC766/1563|Blue|Spotlight|Broken Heart|Purple Flower|Head|Kyaaa|Dumb-foundded|Bowl Cut Green|Hold|Sweater Swift
86|Chibism #2986|1091.5458767945763|https://quixotic.io/asset/0xF811F2D6256C436Ea092B2401FE175167E4BC766/2986|Rainbow|Spotlight|Broken Heart|Purple Lolipop|Head|Aggressive|Smile|Spiky Purple|Hold|Sweater Pink
87|Chibism #1578|1090.3004723969048|https://quixotic.io/asset/0xF811F2D6256C436Ea092B2401FE175167E4BC766/1578|Purple|Spotlight|Broken Heart|Paper|Head|Aggressive|Smile|Bowl Cut Green|Chill|Tee Im Ded
88|Chibism #2155|1089.3497454640496|https://quixotic.io/asset/0xF811F2D6256C436Ea092B2401FE175167E4BC766/2155|Blue|Spotlight|Music Notes|Blue Lolipop|Head|Aggressive|Smile|Spiky White|Chill|Tshirt Blue
89|Chibism #2173|1086.5281888708412|https://quixotic.io/asset/0xF811F2D6256C436Ea092B2401FE175167E4BC766/2173|Purple|Spotlight|Sun Shine|Paper|Head|Crush|Paranoid|Ponytail Bangs Green|Hold|Tee And Shirt Blue
90|Chibism #546|1086.138193517191|https://quixotic.io/asset/0xF811F2D6256C436Ea092B2401FE175167E4BC766/546|Purple|Spotlight|Sun Shine|Scissors|Head|Happy|Tch|Short Spiky Black|Hold|Hoodie Tee Beige
91|Chibism #1575|1086.112672069752|https://quixotic.io/asset/0xF811F2D6256C436Ea092B2401FE175167E4BC766/1575|Pink|Spotlight|Saturn|Rock|Head|Indifferent|Eh|Pot Long Hair Nature|Hold|Tshirt White
92|Chibism #2847|1084.0411530924703|https://quixotic.io/asset/0xF811F2D6256C436Ea092B2401FE175167E4BC766/2847|Pink|Spotlight|Butterfly|Scissors|Head|Cry|Dumb-foundded|Bowl Cut Green|Hold|Tee Cat
93|Chibism #3268|1082.5183095214857|https://quixotic.io/asset/0xF811F2D6256C436Ea092B2401FE175167E4BC766/3268|Rainbow|Spotlight|Music Notes|Blue Flower|Head|Indifferent|Smile|Short Spiky Black|Chill|Sweater Flash
94|Chibism #1540|1082.3704014130603|https://quixotic.io/asset/0xF811F2D6256C436Ea092B2401FE175167E4BC766/1540|Rainbow|Spotlight|Butterfly|Grey Flower|Head|Happy|Heh|Short Spiky Black|Hold|Knit Vest Wave
95|Chibism #2272|1081.7563595961974|https://quixotic.io/asset/0xF811F2D6256C436Ea092B2401FE175167E4BC766/2272|Rainbow|Spotlight|Music Notes|Grey Lolipop|Head|Hehehe|Dumb-foundded|Ponytail Bangs Purple|Chill|Knit Vest Purple
96|Chibism #844|1076.3943934003762|https://quixotic.io/asset/0xF811F2D6256C436Ea092B2401FE175167E4BC766/844|Blue|Spotlight|Sun Shine|Rock|Head|Crush|Growling|Short Spiky Blue|Hold|Oversized Shirt Yellow
97|Chibism #818|1073.726286006682|https://quixotic.io/asset/0xF811F2D6256C436Ea092B2401FE175167E4BC766/818|Rainbow|Spotlight|Butterfly|Scissors|Head|Dumb-founded|Growling|Bowl Cut Green|Hold|Tee Im Ded
98|Chibism #889|1073.2973952951888|https://quixotic.io/asset/0xF811F2D6256C436Ea092B2401FE175167E4BC766/889|Rainbow|Spotlight|Shiny|Rock|Head|Intense|Growling|With Hair Roller Pink|Hold|Tshirt Beige
99|Chibism #1850|1070.4584144436574|https://quixotic.io/asset/0xF811F2D6256C436Ea092B2401FE175167E4BC766/1850|Purple|Spotlight|Sun Shine|Paper|Head|Aggressive|Heh|Ponytail Bangs Green|Hold|Tshirt Pink
100|Chibism #1509|1069.3662823670581|https://quixotic.io/asset/0xF811F2D6256C436Ea092B2401FE175167E4BC766/1509|Purple|Spotlight|Broken Heart|Purple Flower|Head|Ashamed|Tch|Short Spiky Blue|Hold|Oversized Shirt Orange
101|Chibism #1795|1067.6416595240808|https://quixotic.io/asset/0xF811F2D6256C436Ea092B2401FE175167E4BC766/1795|Rainbow|Spotlight|Butterfly|Paper|Head|Cry|Ecstatic|Leave-like Blue|Chill|Oversized Shirt White
102|Chibism #933|1065.54248004492|https://quixotic.io/asset/0xF811F2D6256C436Ea092B2401FE175167E4BC766/933|Pink|Spotlight|Heart|Paper|Head|Chill|Paranoid|Regent Pink|Chill|Tshirt White
