_rank|📈|_name|_score|_link|class|extra|eyewear|headwear|outfit|skin|special
76|🟢+371|BullMoon #1683|2085.9770562770564|https://opensea.io/assets/ethereum/0xc6d12b8fc4eedea0163456697e81c8ae84bb0531/1683|rare||ray ban|hair|extra 1|light crimson|jetpack
78|🟢+369|BullMoon #920|2050.0990712317985|https://opensea.io/assets/ethereum/0xc6d12b8fc4eedea0163456697e81c8ae84bb0531/920|rare||night wing mask|leather hat|polo t-shirt|fresh dark blue|golf bag
78|🟢+369|BullMoon #951|2050.0990712317985|https://opensea.io/assets/ethereum/0xc6d12b8fc4eedea0163456697e81c8ae84bb0531/951|rare||night wing mask|leather hat|polo t-shirt|fresh yellow|golf bag
78|🟢+369|BullMoon #1014|2050.0990712317985|https://opensea.io/assets/ethereum/0xc6d12b8fc4eedea0163456697e81c8ae84bb0531/1014|rare||night wing mask|leather hat|polo t-shirt|light orange mango|golf bag
78|🟢+369|BullMoon #1025|2050.0990712317985|https://opensea.io/assets/ethereum/0xc6d12b8fc4eedea0163456697e81c8ae84bb0531/1025|rare||night wing mask|leather hat|polo t-shirt|dark brown|golf bag
78|🟢+369|BullMoon #1359|2050.0990712317985|https://opensea.io/assets/ethereum/0xc6d12b8fc4eedea0163456697e81c8ae84bb0531/1359|rare||night wing mask|leather hat|polo t-shirt|egg plant|golf bag
78|🟢+369|BullMoon #1425|2050.0990712317985|https://opensea.io/assets/ethereum/0xc6d12b8fc4eedea0163456697e81c8ae84bb0531/1425|rare||night wing mask|leather hat|polo t-shirt|pastel blueberry|golf bag
78|🟢+369|BullMoon #1429|2050.0990712317985|https://opensea.io/assets/ethereum/0xc6d12b8fc4eedea0163456697e81c8ae84bb0531/1429|rare||night wing mask|leather hat|polo t-shirt|yellowish gray|golf bag
78|🟢+369|BullMoon #1431|2050.0990712317985|https://opensea.io/assets/ethereum/0xc6d12b8fc4eedea0163456697e81c8ae84bb0531/1431|rare||night wing mask|leather hat|polo t-shirt|light fresh mint|golf bag
78|🟢+369|BullMoon #1588|2050.0990712317985|https://opensea.io/assets/ethereum/0xc6d12b8fc4eedea0163456697e81c8ae84bb0531/1588|rare||night wing mask|leather hat|polo t-shirt|brick orange|golf bag
87|🟢+360|BullMoon #503|2047.7764111332763|https://opensea.io/assets/ethereum/0xc6d12b8fc4eedea0163456697e81c8ae84bb0531/503|rare||carnival mask|leather hat|polo t-shirt|taro|golf bag
87|🟢+360|BullMoon #697|2047.7764111332763|https://opensea.io/assets/ethereum/0xc6d12b8fc4eedea0163456697e81c8ae84bb0531/697|rare||carnival mask|leather hat|polo t-shirt|strawberry pink|golf bag
87|🟢+360|BullMoon #758|2047.7764111332763|https://opensea.io/assets/ethereum/0xc6d12b8fc4eedea0163456697e81c8ae84bb0531/758|rare||carnival mask|leather hat|polo t-shirt|light pale lime|golf bag
87|🟢+360|BullMoon #764|2047.7764111332763|https://opensea.io/assets/ethereum/0xc6d12b8fc4eedea0163456697e81c8ae84bb0531/764|rare||carnival mask|leather hat|polo t-shirt|lavender blue|golf bag
87|🟢+360|BullMoon #807|2047.7764111332763|https://opensea.io/assets/ethereum/0xc6d12b8fc4eedea0163456697e81c8ae84bb0531/807|rare||carnival mask|leather hat|polo t-shirt|pinkish gray|golf bag
87|🟢+360|BullMoon #843|2047.7764111332763|https://opensea.io/assets/ethereum/0xc6d12b8fc4eedea0163456697e81c8ae84bb0531/843|rare||carnival mask|leather hat|polo t-shirt|eggplant|golf bag
87|🟢+360|BullMoon #907|2047.7764111332763|https://opensea.io/assets/ethereum/0xc6d12b8fc4eedea0163456697e81c8ae84bb0531/907|rare||carnival mask|leather hat|polo t-shirt|light lemon green|golf bag
87|🟢+360|BullMoon #983|2047.7764111332763|https://opensea.io/assets/ethereum/0xc6d12b8fc4eedea0163456697e81c8ae84bb0531/983|rare||carnival mask|leather hat|polo t-shirt|light pale mango|golf bag
87|🟢+360|BullMoon #1045|2047.7764111332763|https://opensea.io/assets/ethereum/0xc6d12b8fc4eedea0163456697e81c8ae84bb0531/1045|rare||carnival mask|leather hat|polo t-shirt|pale light blueberry|golf bag
96|🟢+351|BullMoon #749|2042.0162140889413|https://opensea.io/assets/ethereum/0xc6d12b8fc4eedea0163456697e81c8ae84bb0531/749|rare||night wing mask|leather hat|extra 1|pale blue|jetpack
97|🟢+350|BullMoon #1415|2039.693553990419|https://opensea.io/assets/ethereum/0xc6d12b8fc4eedea0163456697e81c8ae84bb0531/1415|rare||carnival mask|leather hat|extra 1|vivid rose|jetpack
