rank|name|score|link|Background|Mask|Eye|Mouth|Head|Holo Suit
404|Holo Mask : Gold #239|264.48069356950936|https://quixotic.io/asset/0x8B50FDe10E6D2256b12DD839F92130C5D20c1E51/239|Owen|Hazel|Jose|Malia|Chase Gold|Eli Gold
404|Holo Mask : Gold #869|264.48069356950936|https://quixotic.io/asset/0x8B50FDe10E6D2256b12DD839F92130C5D20c1E51/869|Sky|Evelyn|Kayden|Nilda|Brandon Gold|Gabriel Gold
404|Holo Mask : Gold #912|264.48069356950936|https://quixotic.io/asset/0x8B50FDe10E6D2256b12DD839F92130C5D20c1E51/912|Owen|Emilia|Evan|Lucia|Brandon Gold|Brayden Gold
404|Holo Mask : Gold #971|264.48069356950936|https://quixotic.io/asset/0x8B50FDe10E6D2256b12DD839F92130C5D20c1E51/971|Owen|Abigail|Parker|Lucia|Luca Gold|Gabriel Gold
404|Holo Mask : Gold #1234|264.48069356950936|https://quixotic.io/asset/0x8B50FDe10E6D2256b12DD839F92130C5D20c1E51/1234|Sky|Ella|Everett|Mila|Luca Gold|Daniel Gold
404|Holo Mask : Gold #1268|264.48069356950936|https://quixotic.io/asset/0x8B50FDe10E6D2256b12DD839F92130C5D20c1E51/1268|Irvin|Sofia|Weston|Nyla|Ivan Gold|Isaiah Gold
412|Holo Mask : Gold #379|264.27157738095235|https://quixotic.io/asset/0x8B50FDe10E6D2256b12DD839F92130C5D20c1E51/379|Owen|Ava|Miles|Mila|Braxton Gold|Ezra Gold
412|Holo Mask : Gold #1370|264.27157738095235|https://quixotic.io/asset/0x8B50FDe10E6D2256b12DD839F92130C5D20c1E51/1370|Owen|Ruby|Ezekiel|Layla|Cole Gold|Anthony Gold
414|Holo Mask : Gold #1406|264.2661971644341|https://quixotic.io/asset/0x8B50FDe10E6D2256b12DD839F92130C5D20c1E51/1406|Vince|Bella|Ezekiel|Lilly|Kingston Gold|Aiden Gold
415|Holo Mask : Gold #276|264.24770063339145|https://quixotic.io/asset/0x8B50FDe10E6D2256b12DD839F92130C5D20c1E51/276|Sky|Naomi|Vincent 1|Laura|Chase Gold|William Gold
415|Holo Mask : Gold #731|264.24770063339145|https://quixotic.io/asset/0x8B50FDe10E6D2256b12DD839F92130C5D20c1E51/731|Sky|Emilia|Vincent 3|Laila|Ryder Gold|William Gold
415|Holo Mask : Gold #786|264.24770063339145|https://quixotic.io/asset/0x8B50FDe10E6D2256b12DD839F92130C5D20c1E51/786|Sky|Naomi|Jose|Niada|Weston Gold|Colton Gold
418|Holo Mask : Gold #158|264.22033320914903|https://quixotic.io/asset/0x8B50FDe10E6D2256b12DD839F92130C5D20c1E51/158|Sky|Anna|Axel|Layla|Wesley Gold|Connor Gold
419|Holo Mask : Gold #815|264.2068176179622|https://quixotic.io/asset/0x8B50FDe10E6D2256b12DD839F92130C5D20c1E51/815|Vince|Harper|Evan|Kate|Bennett Gold|Oliver Gold
420|Holo Mask : Gold #750|264.18106743106745|https://quixotic.io/asset/0x8B50FDe10E6D2256b12DD839F92130C5D20c1E51/750|Sky|Emily|Declan|Layla|Micah Gold|Cooper Gold
