_rank|_name|_score|_link|Background|Eyes|Eyewear|Face Accessory|Friend|Hair|Mouth|Outfit|Skin|Special Adventurer|Weapon
341|Sobta Magic #540|128.8309816779219|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/540|Common - Sunset|Wink|None|Pain Relief Patch|None|White Bucket Hat|Rose|Black Overalls|Aqua Mutant||Boomerang
342|Sobta Magic #121|128.66343036669522|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/121|Common - Lemonade|Wink|None|Pain Relief Patch|None|Blonde Palm Tree|O Mouth|White Overalls|Earth Mutant||Fire Staff
343|Sobta Magic #508|128.61598422125098|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/508|Common - Cotton Candy|Surprised|None|Star Sticker|None|White Bubble|Smirk|Fur Jacket|Vanilla Ape||Water Staff
344|Sobta Magic #76|128.38838966405876|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/76|Common - Peach|Normal|Heart Glasses|Sobta Sticker|None|Blonde Palm Tree|Triangle|School Uniform|Chocolate Skin||Boomerang
345|Sobta Magic #169|128.31481194791695|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/169|Common - Taro Milk|Fascinated|Red Glasses|Tattoo|None|Black Dreadlocks|O Mouth|White Overalls|Aqua Mutant||Boomerang
346|Sobta Magic #320|128.18122051305681|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/320|Common - Cookie|Normal|None|Pain Relief Patch|None|Brown Bubble|Bubble Gum|Hoodie|Milk Skin||Laser Gun
347|Sobta Magic #368|128.1710756467631|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/368|Common - Charcoal|Surprised|None|Pain Relief Patch|None|Captain Girl|Open Smile|Barista Suit|Espresso Skin||Fire Staff
348|Sobta Magic #244|128.0411049815366|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/244|Common - Cookie|Sad|None|None|None|Blue Double Braid|Grumpy|School Uniform|Chocolate Skin||Squeaky Hammer
349|Sobta Magic #432|127.96395929257622|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/432|Common - Taro Milk|Wink|None|None|None|Red Ponytail|Wafer Roll|Pink Overalls|Espresso Skin||Nature Staff
350|Sobta Magic #352|127.7969847333853|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/352|Common - Lemonade|Sad|None|None|Jojo|Blue Helmet|Triangle|White Overalls|Vanilla Ape||Bunching Onion
351|Sobta Magic #455|127.77768070257625|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/455|Common - Peach|Angry|Heart Glasses|None|None|Green Comma|Bubble Gum|Denim Shirt|Honey Skin||Wrench
352|Sobta Magic #45|127.67067941591156|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/45|Common - Cookie|Angry|Gold Glasses|Pain Relief Patch|None|Black Comma|Tongue Out|Aloha Shirt|Milk Skin||Boomerang
353|Sobta Magic #494|127.52781177335336|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/494|Common - Cotton Candy|Surprised|Gold Glasses|None|None|White Bubble|O Mouth|Black Jacket|Almond Skin||Coffee Cup
354|Sobta Magic #545|127.43050674800088|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/545|Common - Charcoal|Surprised|None|None|None|Black Comma|Wafer Roll|Fur Jacket|Lava Mutant||Laser Gun
355|Sobta Magic #256|127.36857445519504|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/256|Common - Charcoal|Angry|None|None|None|Orange Pigtails|Tongue Out|White T-Shirt|Fire Cyborg||Squeaky Hammer
356|Sobta Magic #459|127.22617030263001|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/459|Common - Taro Milk|Normal|Heart Glasses|Tattoo|None|Green Comma|Smirk|Aloha Shirt|Chocolate Skin||Lollipop
357|Sobta Magic #430|127.16314931596177|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/430|Common - Taro Milk|Normal|None|None|None|Red Ponytail|Rose|Hoodie|Lava Mutant||Fire Staff
358|Sobta Magic #333|127.06343847305607|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/333|Common - Lemonade|Normal|Heart Glasses|Tattoo|None|Blue Messy|Triangle|White Overalls|Chocolate Skin||Baseball Bat
359|Sobta Magic #113|126.83274552587743|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/113|Common - Taro Milk|Angry|Gold Monocle|Star Sticker|None|White Bucket Hat|Bread|Hoodie|Aqua Mutant||Boomerang
360|Sobta Magic #65|126.72243894931157|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/65|Common - Cotton Candy|Wink|Sunglasses|None|None|Black Dreadlocks|Smirk|White Overalls|Aqua Mutant||Sketch Board
361|Sobta Magic #480|126.64266127746228|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/480|Common - Cotton Candy|Sad|None|None|None|Green Comma|Strawberry Stick|Yellow T-Shirt|Milk Tea Skin||Nature Staff
362|Sobta Magic #318|126.6358678927574|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/318|Common - Charcoal|Fascinated|Sunglasses|Pain Relief Patch|None|White Bucket Hat|Smirk|Black Overalls|Earth Mutant||Lollipop
363|Sobta Magic #249|126.41715092807082|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/249|Common - Sky|Surprised|Gold Monocle|Star Sticker|None|Blonde Palm Tree|Grin|Yellow T-Shirt|Almond Skin||Guitar
364|Sobta Magic #382|126.39592351257731|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/382|Common - Charcoal|Normal|Sunglasses|None|None|Brown Spiky|Tongue Out|Black Jacket|Earth Mutant||Laser Gun
365|Sobta Magic #437|126.10136266775476|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/437|Common - Lemon|Surprised|None|Star Sticker|None|Captain Girl|Leaf|White Overalls|Caramel Ape||Fountain Pen
366|Sobta Magic #381|125.95057604856368|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/381|Common - Cotton Candy|Happy|Sunglasses|None|None|Orange Pigtails|Leaf|Pink Overalls|Vanilla Ape||Boomerang
367|Sobta Magic #145|125.87809554776001|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/145|Common - Taro Milk|Normal|Sunglasses|Pain Relief Patch|None|Violet Ponytail|Bubble Gum|Pink Overalls|Almond Skin||Guitar
368|Sobta Magic #513|125.81046440179693|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/513|Common - Peach|Sad|Gold Monocle|None|None|Brown Spiky|Smirk|Pink Overalls|Earth Mutant||Sketch Board
369|Sobta Magic #119|125.75518775618335|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/119|Common - Sunset|Fascinated|None|None|None|Blue Hime Cut|Rose|Yellow T-Shirt|Caramel Ape||Bunching Onion
370|Sobta Magic #111|125.74486951623712|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/111|Common - Cookie|Happy|None|None|Jojo|Green Comma|Grumpy|Pink Overalls|Milk Skin||Guitar
371|Sobta Magic #166|125.68117804993139|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/166|Common - Lemon|Bored|Red Glasses|Tattoo|None|Blonde Dreadlocks|O Mouth|Black Overalls|Almond Skin||Boomerang
372|Sobta Magic #461|125.63798293432346|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/461|Common - Peach|Angry|None|Plaster|None|Brown Bubble|Open Smile|Aloha Shirt|Lava Mutant||Coffee Cup
373|Sobta Magic #143|125.48938961464447|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/143|Common - Cookie|Normal|Sunglasses|Tattoo|None|Black Bucket Hat|Triangle|Pink Overalls|Vanilla Ape||Squeaky Hammer
374|Sobta Magic #100|125.39025645342339|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/100|Common - Cotton Candy|Surprised|None|Pain Relief Patch|None|White Undercut|Choco Donut|Yellow T-Shirt|Caramel Ape||Guitar
375|Sobta Magic #4|125.35709416115779|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/4|Common - Lemonade|Bored|None|None|None|Black Comma|Smile|Hoodie|Fire Cyborg||Guitar
376|Sobta Magic #209|125.24277738268162|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/209|Common - Cookie|Bored|Gold Monocle|Sobta Sticker|None|Captain Girl|Wafer Roll|White T-Shirt|Almond Skin||Baseball Bat
377|Sobta Magic #187|125.13790530077253|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/187|Common - Peach|Normal|None|Star Sticker|None|Blonde Dreadlocks|Leaf|Black Jacket|Milk Skin||Baseball Bat
378|Sobta Magic #295|125.05023038523191|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/295|Common - Peach|Fascinated|None|None|None|Pink Side Braid|Strawberry Stick|Pink Overalls|Almond Skin||Fountain Pen
379|Sobta Magic #71|125.02985071362643|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/71|Common - Cookie|Angry|None|Tattoo|None|Green Light Undercut|Bubble Gum|Black Overalls|Earth Mutant||Bunching Onion
380|Sobta Magic #337|124.92317665625902|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/337|Common - Charcoal|Wink|Heart Glasses|None|None|Pink Inverted Bob|Triangle|White T-Shirt|Espresso Skin||Baseball Bat
381|Sobta Magic #204|124.81349292758482|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/204|Common - Taro Milk|Bored|None|None|None|White Bubble|Bubble Gum|School Uniform|Milk Tea Skin||Sketch Board
382|Sobta Magic #140|124.72467359095157|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/140|Common - Cookie|Angry|Red Glasses|None|None|Blonde Dreadlocks|Choco Donut|School Uniform|Lava Mutant||Baseball Bat
383|Sobta Magic #116|124.25669033400823|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/116|Common - Charcoal|Surprised|None|Pain Relief Patch|None|Blue Hime Cut|Smile|Aloha Shirt|Earth Mutant||Lollipop
384|Sobta Magic #138|124.04802414489677|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/138|Common - Lemonade|Surprised|None|None|None|Blue Double Braid|Tongue Out|Black Overalls|Earth Mutant||Baseball Bat
385|Sobta Magic #319|123.8443834683149|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/319|Common - Cotton Candy|Wink|None|None|None|Pink Inverted Bob|O Mouth|Black Overalls|Milk Tea Skin||Lollipop
386|Sobta Magic #29|123.81684679202823|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/29|Common - Cookie|Sad|Sunglasses|None|None|Orange Spiky|Tongue Out|Denim Shirt|Milk Skin||Baseball Bat
387|Sobta Magic #31|123.59715875997786|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/31|Common - Cookie|Surprised|Heart Glasses|Rainbow Sticker|None|Brown Palm Tree|Tongue Out|Pink Overalls|Lava Mutant||Wrench
388|Sobta Magic #259|123.50359785747483|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/259|Common - Cotton Candy|Fascinated|Red Glasses|None|None|Violet Ponytail|Open Smile|White Overalls|Chocolate Skin||Squeaky Hammer
389|Sobta Magic #390|123.49701910681647|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/390|Common - Sky|Wink|None|Pain Relief Patch|None|Pink Side Braid|Tongue Out|White T-Shirt|Vanilla Ape||Guitar
390|Sobta Magic #82|123.34554926893811|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/82|Common - Cookie|Angry|Sunglasses|Plaster|None|Green Comma|Smirk|Denim Shirt|Caramel Ape||Wrench
391|Sobta Magic #211|123.0465829996414|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/211|Common - Sunset|Normal|Red Glasses|Rainbow Sticker|None|Red Helmet|Strawberry Stick|Black Jacket|Chocolate Skin||Wrench
392|Sobta Magic #544|122.95715042243995|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/544|Common - Peach|Surprised|Sunglasses|Pain Relief Patch|None|Captain Girl|Triangle|White Overalls|Honey Skin||Fire Staff
393|Sobta Magic #558|122.92148924681292|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/558|Common - Cotton Candy|Wink|None|Pain Relief Patch|None|Blonde Double Braid|Choco Donut|Barista Suit|Milk Skin||Carrot
394|Sobta Magic #257|122.8591423053908|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/257|Common - Sky|Surprised|Heart Glasses|None|None|Pink Inverted Bob|Tongue Out|Pink Overalls|Milk Tea Skin||Baseball Bat
395|Sobta Magic #402|122.82511435000927|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/402|Common - Cookie|Fascinated|Heart Glasses|None|None|White Bucket Hat|Choco Donut|Fur Jacket|Milk Tea Skin||Bunching Onion
396|Sobta Magic #406|122.80479360635422|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/406|Common - Charcoal|Surprised|Red Glasses|None|None|Captain Girl|Leaf|Barista Suit|Caramel Ape||Baseball Bat
397|Sobta Magic #190|122.64687307021626|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/190|Common - Cookie|Wink|None|None|None|Pink Inverted Bob|Grin|Fur Jacket|Earth Mutant||Baseball Bat
398|Sobta Magic #547|122.50333719064889|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/547|Common - Cookie|Bored|Sunglasses|None|None|Captain Boy|Triangle|Barista Suit|Milk Tea Skin||Wrench
399|Sobta Magic #415|122.45804412524926|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/415|Common - Taro Milk|Normal|Red Glasses|None|None|White Bubble|Bread|Denim Shirt|Honey Skin||Water Staff
400|Sobta Magic #438|122.45706118957384|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/438|Common - Cotton Candy|Surprised|Gold Monocle|None|None|Captain Girl|O Mouth|White T-Shirt|Chocolate Skin||Syringe
401|Sobta Magic #334|122.40929640420886|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/334|Common - Lemonade|Angry|Red Glasses|Pain Relief Patch|None|White Bubble|Leaf|Black Overalls|Milk Skin||Boomerang
402|Sobta Magic #419|122.29863635257081|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/419|Common - Sunset|Happy|Red Glasses|None|None|Orange Pigtails|Grin|Denim Shirt|Almond Skin||Sketch Board
403|Sobta Magic #132|122.28616926995267|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/132|Common - Cookie|Wink|None|Star Sticker|None|Violet Ponytail|Smile|White T-Shirt|Milk Tea Skin||Water Staff
404|Sobta Magic #255|122.19250254730355|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/255|Common - Sky|Wink|None|None|None|Pink Side Braid|Smile|Sailor Suit|Caramel Ape||Wrench
405|Sobta Magic #454|121.95762616032326|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/454|Common - Sky|Surprised|None|Star Sticker|None|Orange Hime Cut|Smirk|White Overalls|Chocolate Skin||Baseball Bat
406|Sobta Magic #496|121.95543935260196|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/496|Common - Cotton Candy|Bored|Red Glasses|Pain Relief Patch|None|Blue Helmet|Grumpy|White T-Shirt|Chocolate Skin||Syringe
407|Sobta Magic #179|121.76640904622282|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/179|Common - Lemonade|Sad|None|None|None|Brown Bubble|Smirk|Adventure Suit|Earth Mutant||Wrench
408|Sobta Magic #440|121.61687005508719|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/440|Common - Sunset|Sad|None|None|None|Blue Helmet|Grumpy|Black Overalls|Aqua Mutant||Syringe
409|Sobta Magic #48|121.42408266752307|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/48|Common - Sunset|Bored|None|None|None|Blue Double Braid|Smirk|Hoodie|Milk Tea Skin||Squeaky Hammer
410|Sobta Magic #274|121.39897099520624|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/274|Common - Lemonade|Bored|None|Sobta Sticker|None|Brown Palm Tree|Wafer Roll|White Overalls|Vanilla Ape||Baseball Bat
411|Sobta Magic #233|121.36130770899216|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/233|Common - Cookie|Happy|None|None|None|Black Dreadlocks|Grumpy|Black Overalls|Almond Skin||Water Staff
412|Sobta Magic #60|121.07621255999595|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/60|Common - Charcoal|Sad|None|Plaster|None|Green Light Undercut|O Mouth|Yellow T-Shirt|Vanilla Ape||Fountain Pen
413|Sobta Magic #514|121.04687414478798|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/514|Common - Lemon|Wink|None|Star Sticker|None|Orange Pigtails|Strawberry Stick|Black Jacket|Caramel Ape||Guitar
414|Sobta Magic #36|120.95726846364833|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/36|Common - Sunset|Fascinated|Red Glasses|None|None|Blue Hime Cut|Bread|Fur Jacket|Chocolate Skin||Bunching Onion
415|Sobta Magic #94|120.82572072782288|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/94|Common - Lemon|Normal|Gold Monocle|None|None|Red Helmet|Choco Donut|Denim Shirt|Honey Skin||Guitar
416|Sobta Magic #245|120.70400829300179|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/245|Common - Sky|Normal|None|Tattoo|None|Pink Inverted Bob|O Mouth|Pink Overalls|Chocolate Skin||Guitar
417|Sobta Magic #136|120.67622168730952|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/136|Common - Cookie|Surprised|None|Pain Relief Patch|None|Orange Spiky|Leaf|Hoodie|Honey Skin||Wrench
418|Sobta Magic #537|120.61415832154202|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/537|Common - Taro Milk|Surprised|Red Glasses|None|None|Orange Hime Cut|Grin|White Overalls|Honey Skin||Wrench
419|Sobta Magic #268|120.53114658553923|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/268|Common - Sunset|Bored|None|None|None|Blonde Double Braid|Rose|Fur Jacket|Earth Mutant||Baseball Bat
420|Sobta Magic #264|120.36891480557068|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/264|Common - Lemonade|Happy|None|None|None|Orange Side Braid|Grin|Hoodie|Chocolate Skin||Boomerang
421|Sobta Magic #105|120.32206504599648|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/105|Common - Cookie|Sad|Sunglasses|None|None|Violet Ponytail|Open Smile|Black Overalls|Milk Skin||Fountain Pen
422|Sobta Magic #152|120.09718386505693|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/152|Common - Cotton Candy|Surprised|Red Glasses|Tattoo|None|Orange Pigtails|Grin|Black Overalls|Almond Skin||Fountain Pen
423|Sobta Magic #549|119.94778903165248|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/549|Common - Cookie|Bored|None|None|None|Orange Hime Cut|O Mouth|Black Overalls|Aqua Mutant||Bunching Onion
424|Sobta Magic #534|119.93116150452066|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/534|Common - Sunset|Normal|None|Rainbow Sticker|None|Red Helmet|Grumpy|Sailor Suit|Aqua Mutant||Wrench
425|Sobta Magic #265|119.92851440979878|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/265|Common - Lemonade|Fascinated|Heart Glasses|None|None|Green Light Undercut|Triangle|Fur Jacket|Aqua Mutant||Boomerang
426|Sobta Magic #354|119.89401001435785|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/354|Common - Charcoal|Sad|None|None|None|Blonde Palm Tree|Smile|Yellow T-Shirt|Earth Mutant||Fire Staff
427|Sobta Magic #246|119.84758888813049|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/246|Common - Cookie|Happy|None|None|None|Brown Spiky|Tongue Out|Aloha Shirt|Honey Skin||Fire Staff
428|Sobta Magic #314|119.62057602076177|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/314|Common - Charcoal|Wink|None|Sobta Sticker|None|Violet Ponytail|Tongue Out|Denim Shirt|Honey Skin||Baseball Bat
429|Sobta Magic #530|119.49046738239505|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/530|Common - Peach|Sad|Red Glasses|Sobta Sticker|None|Brown Spiky|Triangle|Black Jacket|Honey Skin||Guitar
430|Sobta Magic #14|119.22863149326396|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/14|Common - Lemon|Happy|None|Rainbow Sticker|None|Orange Pigtails|Smile|Aloha Shirt|Caramel Ape||Wrench
431|Sobta Magic #553|118.82939623376245|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/553|Common - Lemon|Angry|Red Glasses|None|None|Brown Bubble|Choco Donut|Black Jacket|Aqua Mutant||Lollipop
432|Sobta Magic #497|118.76761976669027|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/497|Common - Peach|Surprised|None|Sobta Sticker|None|Brown Spiky|Grumpy|Barista Suit|Honey Skin||Fountain Pen
433|Sobta Magic #426|118.55343674345916|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/426|Common - Lemon|Bored|None|Sobta Sticker|None|Red Ponytail|Smirk|Black Overalls|Milk Skin||Carrot
434|Sobta Magic #548|118.42963934482103|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/548|Common - Charcoal|Angry|Red Glasses|Sobta Sticker|None|Orange Pigtails|Choco Donut|Yellow T-Shirt|Milk Tea Skin||Bunching Onion
435|Sobta Magic #110|118.3814518713551|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/110|Common - Peach|Angry|None|Star Sticker|None|Brown Bubble|Rose|School Uniform|Milk Tea Skin||Fountain Pen
436|Sobta Magic #332|118.3014686906858|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/332|Common - Cookie|Angry|Heart Glasses|Pain Relief Patch|None|Black Dreadlocks|Grumpy|White T-Shirt|Chocolate Skin||Fountain Pen
437|Sobta Magic #324|118.03980589701365|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/324|Common - Charcoal|Fascinated|Sunglasses|None|None|Blue Helmet|Triangle|School Uniform|Almond Skin||Squeaky Hammer
438|Sobta Magic #10|117.82437892993644|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/10|Common - Lemon|Bored|Gold Monocle|Star Sticker|None|Orange Pigtails|Smile|Barista Suit|Chocolate Skin||Bunching Onion
439|Sobta Magic #269|117.74564775757543|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/269|Common - Peach|Fascinated|Red Glasses|Sobta Sticker|None|Green Light Undercut|Triangle|White T-Shirt|Almond Skin||Baseball Bat
440|Sobta Magic #403|117.72712496838786|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/403|Common - Sky|Sad|None|Tattoo|None|White Bubble|Tongue Out|Black Jacket|Vanilla Ape||Carrot
441|Sobta Magic #27|117.38827547811229|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/27|Common - Charcoal|Normal|None|Pain Relief Patch|None|Black Dreadlocks|Choco Donut|Pink Overalls|Espresso Skin||Guitar
442|Sobta Magic #195|117.245869833612|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/195|Common - Lemon|Sad|Gold Monocle|None|None|Black Bucket Hat|Smirk|Yellow T-Shirt|Caramel Ape||Boomerang
443|Sobta Magic #68|117.19378835991648|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/68|Common - Sunset|Bored|None|Tattoo|None|White Undercut|O Mouth|White T-Shirt|Chocolate Skin||Boomerang
444|Sobta Magic #241|117.1216815541481|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/241|Common - Peach|Surprised|None|Pain Relief Patch|None|Blonde Palm Tree|Tongue Out|Aloha Shirt|Caramel Ape||Carrot
445|Sobta Magic #370|117.03271599131511|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/370|Common - Charcoal|Bored|None|None|None|Blonde Double Braid|Triangle|White T-Shirt|Honey Skin||Laser Gun
446|Sobta Magic #519|116.98117483760626|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/519|Common - Sky|Sad|None|None|None|White Undercut|Wafer Roll|White T-Shirt|Aqua Mutant||Boomerang
447|Sobta Magic #374|116.95662289890903|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/374|Common - Cotton Candy|Normal|Red Glasses|None|None|Brown Bubble|Smirk|Black Overalls|Chocolate Skin||Nature Staff
448|Sobta Magic #171|116.87993175786833|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/171|Common - Sunset|Normal|None|None|None|Black Dreadlocks|Leaf|Black Overalls|Earth Mutant||Bunching Onion
449|Sobta Magic #506|116.79528376054583|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/506|Common - Sunset|Angry|None|None|None|Orange Hime Cut|Grumpy|Barista Suit|Honey Skin||Boomerang
450|Sobta Magic #293|116.67857224131077|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/293|Common - Lemonade|Surprised|Sunglasses|Pain Relief Patch|None|Black Dreadlocks|Bread|White T-Shirt|Milk Skin||Baseball Bat
451|Sobta Magic #219|116.49611808141616|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/219|Common - Sky|Surprised|None|Sobta Sticker|None|Black Dreadlocks|Smile|Fur Jacket|Chocolate Skin||Wrench
