_rank|_name|_score|_link|Background|Eyes|Eyewear|Face Accessory|Friend|Hair|Mouth|Outfit|Skin|Special Adventurer|Weapon
169|Sobta Magic #321|156.73685771665762|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/321|Common - Sunset|Angry|None|None|None|Brown Palm Tree|Bread|Docter Suit|Fire Cyborg||Bunching Onion
170|Sobta Magic #416|156.40914676656695|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/416|Common - Lemonade|Angry|None|Sobta Sticker|None|Black Bucket Hat|Smile|Aloha Shirt|Ice Cyborg||Carrot
171|Sobta Magic #85|156.3956193862227|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/85|Common - Sky|Angry|Gold Glasses|None|Florae|White Bucket Hat|Tongue Out|White Overalls|Milk Skin||Coffee Cup
172|Sobta Magic #208|156.33129660360413|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/208|Common - Sky|Happy|Sunglasses|Tattoo|None|Orange Side Braid|Smirk|Business Suit|Caramel Ape||Squeaky Hammer
173|Sobta Magic #538|156.29318892424092|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/538|Common - Lemonade|Wink|Sunglasses|Sobta Sticker|Alpha|Captain Girl|Grumpy|Pink Overalls|Lava Mutant||Guitar
174|Sobta Magic #388|155.7403016298929|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/388|Common - Taro Milk|Normal|None|None|None|Pink Side Braid|Grumpy|Aloha Shirt|Ice Cyborg||Squeaky Hammer
175|Sobta Magic #421|155.57872385624898|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/421|Common - Lemon|Bored|Sunglasses|Pain Relief Patch|Poppo|White Undercut|Grumpy|Hoodie|Aqua Mutant||Lollipop
176|Sobta Magic #243|155.42910732213474|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/243|Rare - Day Dream|Sad|None|Pain Relief Patch|Alpha|Blue Helmet|Bread|Hoodie|Earth Mutant||Bunching Onion
177|Sobta Magic #125|155.40754885454055|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/125|Common - Lemonade|Fascinated|None|None|Kabo|Brown Palm Tree|Grumpy|Sailor Suit|Caramel Ape||Syringe
178|Sobta Magic #178|155.39078840172098|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/178|Common - Peach|Normal|Heart Glasses|Pain Relief Patch|None|Violet Ponytail|Smile|Hoodie|Almond Skin||Scythe
179|Sobta Magic #155|155.36121335465032|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/155|Common - Sunset|Bored|Red Glasses|Star Sticker|None|Orange Hime Cut|Triangle|Sailor Suit|Espresso Skin||Fire Staff
180|Sobta Magic #273|155.2848685543341|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/273|Common - Charcoal|Wink|Gold Monocle|Plaster|None|Blue Double Braid|Bread|White Overalls|Aqua Mutant||Bunching Onion
181|Sobta Magic #220|155.1310149347095|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/220|Common - Peach|Fascinated|Sunglasses|Plaster|Volcan|Blue Helmet|Grin|Black Jacket|Earth Mutant||Bunching Onion
182|Sobta Magic #515|154.44242501635645|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/515|Common - Cotton Candy|Surprised|Scounter|None|None|Black Bucket Hat|Choco Donut|Sailor Suit|Milk Skin||Guitar
183|Sobta Magic #214|154.09258855057175|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/214|Common - Cookie|Normal|None|Tattoo|Miw Miw|Brown Spiky|O Mouth|Fur Jacket|Espresso Skin||Coffee Cup
184|Sobta Magic #411|153.42739162140947|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/411|Common - Sunset|Normal|None|None|Volcan|Red Helmet|Lollipop|Yellow T-Shirt|Vanilla Ape||Coffee Cup
185|Sobta Magic #165|153.19086782782446|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/165|Common - Peach|Surprised|None|None|None|Orange Hime Cut|Smirk|Hoodie|Ice Cyborg||Boomerang
186|Sobta Magic #511|153.0467131561709|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/511|Common - Cookie|Sad|Gold Glasses|None|None|Black Bucket Hat|Bubble Gum|Sailor Suit|Vanilla Ape||Guitar
187|Sobta Magic #182|152.98762386377476|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/182|Common - Lemon|Wink|None|Rainbow Sticker|Jojo|White Bubble|Open Smile|School Uniform|Earth Mutant||Carrot
188|Sobta Magic #355|152.25408296037276|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/355|Common - Lemonade|Angry|None|Star Sticker|None|Black Bucket Hat|Tongue Out|Docter Suit|Aqua Mutant||Lollipop
189|Sobta Magic #407|152.09825193837796|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/407|Common - Sunset|Wink|None|None|None|White Undercut|O Mouth|Barista Suit|Ice Cyborg||Bunching Onion
190|Sobta Magic #6|151.83257113278043|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/6|Common - Peach|Angry|Diamond Glasses|Rainbow Sticker|None|Brown Bubble|Rose|Pink Overalls|Vanilla Ape||Bunching Onion
191|Sobta Magic #231|151.4802420487924|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/231|Common - Lemon|Fascinated|Diamond Glasses|Pain Relief Patch|None|Captain Boy|Grumpy|Black Jacket|Almond Skin||Carrot
192|Sobta Magic #359|151.2556809943075|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/359|Common - Lemonade|Bored|Red Glasses|None|Kabo|Red Ponytail|Bread|Black Overalls|Almond Skin||Lollipop
193|Sobta Magic #167|151.1424078432092|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/167|Common - Lemonade|Happy|None|Plaster|Volcan|Green Comma|Bread|Denim Shirt|Honey Skin||Guitar
194|Sobta Magic #90|151.07299884332616|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/90|Common - Lemon|Surprised|None|None|None|Blonde Double Braid|Choco Donut|Yellow T-Shirt|Ice Cyborg||Carrot
195|Sobta Magic #118|150.9589865408189|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/118|Common - Charcoal|Fascinated|None|None|None|White Undercut|Tongue Out|Denim Shirt|Fire Cyborg||Coffee Cup
196|Sobta Magic #531|150.95528501636912|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/531|Common - Taro Milk|Normal|Sunglasses|None|None|Red Helmet|Bread|Aloha Shirt|Ice Cyborg||Fountain Pen
197|Sobta Magic #423|150.81122992175378|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/423|Common - Peach|Angry|Heart Glasses|Pain Relief Patch|Alpha|Blue Helmet|Triangle|Fur Jacket|Milk Tea Skin||Carrot
198|Sobta Magic #183|150.74883586903547|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/183|Common - Sunset|Normal|Red Glasses|None|Jojo|Blue Hime Cut|Lollipop|Hoodie|Almond Skin||Carrot
199|Sobta Magic #322|150.10040685548893|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/322|Common - Charcoal|Sad|None|Star Sticker|Poppo|Brown Bubble|Triangle|Fur Jacket|Chocolate Skin||Laser Gun
200|Sobta Magic #451|149.97648754293556|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/451|Common - Sky|Normal|None|Pain Relief Patch|Kabo|Pink Inverted Bob|Wafer Roll|White T-Shirt|Chocolate Skin||Fountain Pen
201|Sobta Magic #254|149.82293022156628|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/254|Common - Lemonade|Sad|Gold Monocle|None|Poppo|Black Comma|Tongue Out|Sailor Suit|Milk Tea Skin||Baseball Bat
202|Sobta Magic #122|149.6748963661595|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/122|Common - Charcoal|Wink|Sunglasses|Plaster|None|Orange Spiky|Leaf|Black Overalls|Honey Skin||Boomerang
203|Sobta Magic #127|149.58201476041765|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/127|Rare - Day Dream|Surprised|None|Pain Relief Patch|Florae|Blonde Double Braid|Strawberry Stick|White T-Shirt|Chocolate Skin||Wrench
204|Sobta Magic #470|149.0094114045718|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/470|Common - Charcoal|Sad|Red Glasses|None|None|Red Ponytail|Grin|Sci-Fi Suit|Caramel Ape||Bunching Onion
205|Sobta Magic #206|148.8550054421355|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/206|Common - Taro Milk|Bored|None|None|Jojo|Orange Spiky|Wafer Roll|Sailor Suit|Lava Mutant||Boomerang
206|Sobta Magic #418|148.73418419334772|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/418|Common - Taro Milk|Normal|None|Rainbow Sticker|Miw Miw|Brown Bubble|Open Smile|Denim Shirt|Lava Mutant||Wrench
207|Sobta Magic #163|148.6973403340753|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/163|Common - Peach|Sad|None|Star Sticker|Miw Miw|Green Comma|Smirk|White T-Shirt|Vanilla Ape||Guitar
208|Sobta Magic #153|148.6721783009412|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/153|Common - Sky|Surprised|None|Plaster|None|Blue Double Braid|Triangle|Black Jacket|Lava Mutant||Fire Staff
209|Sobta Magic #73|148.66058246286573|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/73|Common - Lemonade|Surprised|None|Rainbow Sticker|Miw Miw|Black Comma|Grin|White T-Shirt|Chocolate Skin||Wrench
210|Sobta Magic #312|148.6505313734452|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/312|Common - Charcoal|Surprised|Sunglasses|Plaster|None|Violet Ponytail|Wafer Roll|Adventure Suit|Milk Tea Skin||Wrench
211|Sobta Magic #518|147.83768821050163|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/518|Common - Sunset|Happy|Red Glasses|None|None|Orange Side Braid|Leaf|Sailor Suit|Caramel Ape||Wrench
212|Sobta Magic #551|147.8256667771725|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/551|Common - Sunset|Fascinated|None|Sobta Sticker|None|Blue Hime Cut|Lollipop|Business Suit|Honey Skin||Bunching Onion
213|Sobta Magic #215|147.77031929719192|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/215|Common - Lemonade|Sad|None|None|None|Black Bucket Hat|Wafer Roll|Aloha Shirt|Fire Cyborg||Water Staff
214|Sobta Magic #323|147.72989796594413|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/323|Common - Taro Milk|Sad|None|Tattoo|None|Green Light Undercut|Smirk|White T-Shirt|Fire Cyborg||Fire Staff
215|Sobta Magic #70|147.1775725988507|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/70|Common - Lemon|Sad|None|Sobta Sticker|None|White Bucket Hat|Rose|Business Suit|Earth Mutant||Squeaky Hammer
216|Sobta Magic #279|146.64835401205497|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/279|Common - Lemon|Surprised|Red Glasses|Sobta Sticker|None|Violet Ponytail|Lollipop|Business Suit|Milk Tea Skin||Carrot
217|Sobta Magic #281|146.27242811806852|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/281|Common - Sky|Happy|None|None|Kabo|Blonde Double Braid|Grin|White Overalls|Chocolate Skin||Squeaky Hammer
218|Sobta Magic #283|146.10694339544384|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/283|Common - Taro Milk|Sad|None|None|Kabo|Violet Ponytail|Bubble Gum|School Uniform|Milk Tea Skin||Bunching Onion
219|Sobta Magic #301|146.07314677635753|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/301|Common - Sunset|Wink|Red Glasses|None|None|Blue Messy|Bubble Gum|Business Suit|Honey Skin||Carrot
220|Sobta Magic #61|145.63008169775088|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/61|Common - Cookie|Wink|None|Plaster|Poppo|Black Bucket Hat|Grumpy|Aloha Shirt|Milk Tea Skin||Fountain Pen
221|Sobta Magic #371|145.5896405504141|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/371|Common - Lemon|Sad|Sunglasses|None|None|Pink Inverted Bob|Grin|Barista Suit|Chocolate Skin||Laser Gun
222|Sobta Magic #443|145.49567838906387|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/443|Common - Sunset|Happy|None|Rainbow Sticker|None|Pink Inverted Bob|O Mouth|Yellow T-Shirt|Almond Skin||Water Staff
223|Sobta Magic #37|145.37945395452522|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/37|Rare - Day Dream|Angry|None|Tattoo|Poppo|Black Bucket Hat|Tongue Out|Black Jacket|Honey Skin||Wrench
224|Sobta Magic #177|145.11695161245072|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/177|Common - Sunset|Normal|Heart Glasses|Plaster|None|Blue Messy|Rose|Fur Jacket|Honey Skin||Wrench
225|Sobta Magic #267|144.94983622122106|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/267|Common - Peach|Normal|Sunglasses|None|None|Blue Helmet|Leaf|Business Suit|Lava Mutant||Fire Staff
226|Sobta Magic #422|144.867352512356|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/422|Common - Peach|Normal|Heart Glasses|Plaster|None|Red Ponytail|Open Smile|Business Suit|Lava Mutant||Carrot
227|Sobta Magic #450|144.78014225998805|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/450|Common - Charcoal|Surprised|None|None|Florae|Blonde Palm Tree|Rose|Business Suit|Milk Skin||Wrench
228|Sobta Magic #2|144.6051734321711|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/2|Common - Taro Milk|Bored|None|Rainbow Sticker|None|Pink Inverted Bob|Grumpy|Yellow T-Shirt|Milk Skin||Laser Gun
229|Sobta Magic #218|144.4356529553402|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/218|Common - Lemonade|Normal|Gold Monocle|Sobta Sticker|None|Blue Messy|Triangle|Sailor Suit|Milk Tea Skin||Fountain Pen
230|Sobta Magic #79|144.28944464690937|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/79|Common - Lemonade|Surprised|Gold Monocle|None|None|Blue Hime Cut|Tongue Out|Denim Shirt|Chocolate Skin||Nature Staff
