_rank|📈|_name|_score|_link|Background|Eyes|Eyewear|Face Accessory|Friend|Hair|Mouth|Outfit|Skin|Special Adventurer|Weapon
718|🔴-295|Sobta Magic #549|111.17929461871266|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/549|Common - Cookie|Bored|None|None|None|Orange Hime Cut|O Mouth|Black Overalls|Aqua Mutant||Bunching Onion
719|🔴-227|Sobta Magic #280|111.17901982235345|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/280|Common - Sunset|Surprised|None|Pain Relief Patch|None|Brown Spiky|Open Smile|School Uniform|Milk Skin||Bunching Onion
720|🔴-322|Sobta Magic #547|111.11553927268642|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/547|Common - Cookie|Bored|Sunglasses|None|None|Captain Boy|Triangle|Barista Suit|Milk Tea Skin||Wrench
721|🔴-247|Sobta Magic #276|110.91380638002705|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/276|Common - Lemonade|Angry|Gold Monocle|None|None|Orange Pigtails|Triangle|Pink Overalls|Almond Skin||Squeaky Hammer
722|🔴-234|Sobta Magic #523|110.80779836348641|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/523|Common - Taro Milk|Angry|Red Glasses|None|None|Blonde-Brown Man Bun|Smile|Black Jacket|Earth Mutant||Carrot
723|🔴-237|Sobta Magic #129|110.79273306692555|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/129|Common - Peach|Angry|None|None|None|Orange Spiky|Smirk|Denim Shirt|Lava Mutant||Wrench
724|🔴-223|Sobta Magic #487|110.505794499589|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/487|Common - Cookie|Bored|None|Star Sticker|None|White Bucket Hat|O Mouth|White Overalls|Earth Mutant||Bunching Onion
725|🔴-305|Sobta Magic #264|110.4903947050257|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/264|Common - Lemonade|Happy|None|None|None|Orange Side Braid|Grin|Hoodie|Chocolate Skin||Boomerang
726|🟡|Sobta Magic #598|110.42358389030323|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/598|Common - Taro Milk|Wink|Red Glasses|None|None|Red Ponytail|Smirk|Black Jacket|Honey Skin||Guitar
727|🔴-194|Sobta Magic #294|110.32910204759924|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/294|Common - Taro Milk|Angry|Sunglasses|None|None|Black Dreadlocks|Smirk|Yellow T-Shirt|Milk Skin||Baseball Bat
728|🔴-214|Sobta Magic #473|110.24566428587435|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/473|Common - Cotton Candy|Angry|None|Pain Relief Patch|None|Violet Ponytail|O Mouth|Yellow T-Shirt|Espresso Skin||Fountain Pen
729|🟡|Sobta Magic #761|110.20028840801228|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/761|Common - Taro Milk|Bored|None|Pain Relief Patch|None|Captain Boy|Bread|Denim Shirt|Milk Skin||Wrench
730|🔴-206|Sobta Magic #174|110.06977252858248|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/174|Common - Cotton Candy|Normal|None|None|None|Green Comma|Wafer Roll|Hoodie|Almond Skin||Squeaky Hammer
731|🟡|Sobta Magic #571|109.98158566476776|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/571|Common - Sky|Fascinated|Red Glasses|None|None|Red Helmet|Tongue Out|Aloha Shirt|Milk Skin||Guitar
732|🔴-201|Sobta Magic #444|109.82515604133953|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/444|Common - Lemon|Angry|Sunglasses|None|None|Green Light Undercut|Triangle|Black Overalls|Lava Mutant||Baseball Bat
733|🔴-213|Sobta Magic #227|109.82048286695851|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/227|Common - Sky|Happy|None|None|None|Blue Helmet|O Mouth|Pink Overalls|Milk Tea Skin||Fountain Pen
734|🟡|Sobta Magic #565|109.69030154403086|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/565|Common - Cotton Candy|Angry|None|None|None|Blue Messy|Triangle|Denim Shirt|Milk Skin||Sketch Board
735|🔴-246|Sobta Magic #413|109.64307203314709|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/413|Common - Sky|Fascinated|None|None|None|Blonde Palm Tree|Tongue Out|Fur Jacket|Lava Mutant||Guitar
736|🔴-215|Sobta Magic #379|109.58133558441823|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/379|Common - Peach|Normal|None|None|None|Blonde Dreadlocks|Triangle|Black Jacket|Aqua Mutant||Bunching Onion
737|🔴-319|Sobta Magic #537|109.38432529707691|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/537|Common - Taro Milk|Surprised|Red Glasses|None|None|Orange Hime Cut|Grin|White Overalls|Honey Skin||Wrench
738|🔴-212|Sobta Magic #131|109.33517117084632|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/131|Common - Peach|Normal|Red Glasses|None|None|Black Bucket Hat|Triangle|Sailor Suit|Milk Tea Skin||Wrench
739|🔴-210|Sobta Magic #176|109.19911311534241|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/176|Common - Lemon|Sad|None|Star Sticker|None|Red Helmet|Triangle|Hoodie|Earth Mutant||Guitar
740|🔴-199|Sobta Magic #253|109.16071645620694|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/253|Common - Lemon|Normal|None|Star Sticker|None|Brown Spiky|Smirk|Yellow T-Shirt|Espresso Skin||Bunching Onion
741|🔴-264|Sobta Magic #367|109.09693403584448|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/367|Common - Sunset|Surprised|None|None|None|Orange Pigtails|Smile|Aloha Shirt|Milk Skin||Water Staff
742|🔴-220|Sobta Magic #303|109.09298987872678|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/303|Common - Cookie|Surprised|None|None|None|Brown Spiky|Grumpy|Sailor Suit|Almond Skin||Carrot
743|🟡|Sobta Magic #748|109.01012932326944|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/748|Common - Sky|Normal|None|None|None|White Bucket Hat|Open Smile|Fur Jacket|Aqua Mutant||Baseball Bat
744|🟡|Sobta Magic #700|108.84216261697127|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/700|Common - Peach|Happy|None|None|None|Blue Helmet|Tongue Out|White Overalls|Honey Skin||Fountain Pen
745|🔴-242|Sobta Magic #157|108.73874299549756|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/157|Common - Cotton Candy|Wink|None|None|None|Violet Ponytail|Open Smile|Pink Overalls|Earth Mutant||Bunching Onion
746|🔴-250|Sobta Magic #296|108.62303189109583|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/296|Common - Charcoal|Normal|None|Tattoo|None|Blonde-Brown Man Bun|Triangle|School Uniform|Almond Skin||Baseball Bat
747|🔴-217|Sobta Magic #5|108.42102732853996|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/5|Common - Lemon|Angry|None|None|None|Black Comma|Choco Donut|School Uniform|Milk Tea Skin||Wrench
748|🔴-236|Sobta Magic #484|108.37481524615556|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/484|Common - Sunset|Fascinated|None|None|None|Blue Helmet|Smile|Pink Overalls|Earth Mutant||Boomerang
749|🔴-365|Sobta Magic #138|108.32986423887174|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/138|Common - Lemonade|Surprised|None|None|None|Blue Double Braid|Tongue Out|Black Overalls|Earth Mutant||Baseball Bat
750|🔴-240|Sobta Magic #277|108.30025841442418|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/277|Common - Taro Milk|Bored|None|Pain Relief Patch|None|Violet Ponytail|Strawberry Stick|Pink Overalls|Milk Tea Skin||Wrench
751|🟡|Sobta Magic #791|107.94894681078989|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/791|Common - Sky|Bored|None|None|None|Blue Double Braid|Smirk|School Uniform|Milk Tea Skin||Boomerang
752|🔴-241|Sobta Magic #457|107.91789717786234|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/457|Common - Lemonade|Normal|Sunglasses|None|None|Red Helmet|Open Smile|Hoodie|Milk Skin||Carrot
753|🔴-249|Sobta Magic #469|107.81691026424677|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/469|Common - Peach|Sad|None|Pain Relief Patch|None|White Undercut|Grumpy|Hoodie|Milk Tea Skin||Boomerang
754|🔴-283|Sobta Magic #147|107.78941746971313|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/147|Common - Sky|Surprised|None|Pain Relief Patch|None|Blue Messy|Bread|Black Jacket|Chocolate Skin||Wrench
755|🔴-250|Sobta Magic #290|107.67698623893018|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/290|Common - Sky|Surprised|Red Glasses|Pain Relief Patch|None|Orange Pigtails|O Mouth|Pink Overalls|Lava Mutant||Baseball Bat
756|🟡|Sobta Magic #563|107.61034364589283|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/563|Common - Cotton Candy|Happy|None|None|None|Blue Messy|Grumpy|Denim Shirt|Almond Skin||Fountain Pen
757|🔴-308|Sobta Magic #506|107.3057073559639|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/506|Common - Sunset|Angry|None|None|None|Orange Hime Cut|Grumpy|Barista Suit|Honey Skin||Boomerang
758|🟡|Sobta Magic #769|107.27814558488417|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/769|Common - Cotton Candy|Bored|Sunglasses|None|None|Green Light Undercut|Smirk|Fur Jacket|Honey Skin||Boomerang
759|🔴-253|Sobta Magic #524|107.22767526462532|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/524|Common - Cotton Candy|Normal|None|Pain Relief Patch|None|Green Comma|Tongue Out|Aloha Shirt|Honey Skin||Fountain Pen
760|🟡|Sobta Magic #642|107.13344087794452|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/642|Common - Lemonade|Normal|None|None|None|Orange Pigtails|Smirk|Denim Shirt|Almond Skin||Fire Staff
761|🔴-233|Sobta Magic #217|107.03373835793083|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/217|Common - Peach|Bored|None|None|None|Blonde Palm Tree|Smirk|Hoodie|Caramel Ape||Boomerang
762|🔴-213|Sobta Magic #435|106.88837618046821|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/435|Common - Sky|Surprised|None|None|None|Red Helmet|Wafer Roll|Yellow T-Shirt|Earth Mutant||Bunching Onion
763|🔴-246|Sobta Magic #33|106.7204335053343|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/33|Common - Charcoal|Normal|None|Tattoo|None|Orange Pigtails|Grumpy|Fur Jacket|Milk Tea Skin||Fountain Pen
764|🔴-245|Sobta Magic #126|106.68854939872023|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/126|Common - Lemonade|Bored|None|None|None|Green Light Undercut|Smirk|Barista Suit|Chocolate Skin||Squeaky Hammer
765|🔴-257|Sobta Magic #504|106.68741988909483|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/504|Common - Sky|Normal|None|Plaster|None|Brown Palm Tree|Triangle|White Overalls|Chocolate Skin||Boomerang
766|🔴-220|Sobta Magic #510|106.54137011776628|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/510|Common - Charcoal|Wink|None|None|None|Green Comma|O Mouth|Yellow T-Shirt|Espresso Skin||Bunching Onion
767|🟡|Sobta Magic #683|106.49517701700483|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/683|Common - Charcoal|Sad|Red Glasses|None|None|Brown Palm Tree|Bread|Fur Jacket|Milk Skin||Wrench
768|🔴-215|Sobta Magic #302|106.45966454909063|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/302|Common - Taro Milk|Surprised|None|Pain Relief Patch|None|Blonde Double Braid|Triangle|White T-Shirt|Chocolate Skin||Wrench
769|🔴-360|Sobta Magic #48|106.3121938777326|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/48|Common - Sunset|Bored|None|None|None|Blue Double Braid|Smirk|Hoodie|Milk Tea Skin||Squeaky Hammer
770|🔴-318|Sobta Magic #351|105.7728742687868|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/351|Common - Lemon|Bored|None|None|None|Orange Hime Cut|Smirk|Hoodie|Espresso Skin||Fountain Pen
771|🟡|Sobta Magic #708|105.74034688279431|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/708|Common - Lemonade|Surprised|None|Pain Relief Patch|None|Captain Girl|Smile|White Overalls|Almond Skin||Sketch Board
772|🔴-240|Sobta Magic #47|105.38547304654696|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/47|Common - Cotton Candy|Angry|None|Tattoo|None|White Bucket Hat|Grumpy|White Overalls|Honey Skin||Bunching Onion
773|🔴-236|Sobta Magic #77|105.37129856292084|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/77|Common - Sunset|Sad|Sunglasses|None|None|Green Light Undercut|Smile|Hoodie|Earth Mutant||Wrench
774|🟡|Sobta Magic #675|105.26227734671215|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/675|Common - Cotton Candy|Surprised|None|None|None|Brown Palm Tree|Grin|Pink Overalls|Caramel Ape||Bunching Onion
775|🔴-239|Sobta Magic #472|105.14189279084941|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/472|Common - Charcoal|Happy|None|None|None|Captain Girl|Grin|Black Jacket|Chocolate Skin||Boomerang
776|🟡|Sobta Magic #697|105.09841205778675|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/697|Common - Lemon|Happy|None|None|None|Violet Ponytail|Smirk|Fur Jacket|Milk Skin||Carrot
777|🔴-262|Sobta Magic #512|104.8025007888411|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/512|Common - Taro Milk|Fascinated|None|None|None|White Undercut|Smile|Hoodie|Earth Mutant||Bunching Onion
778|🔴-239|Sobta Magic #477|104.6807501870972|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/477|Common - Lemon|Bored|None|Pain Relief Patch|None|Red Helmet|Triangle|Denim Shirt|Milk Tea Skin||Carrot
779|🔴-245|Sobta Magic #326|104.58170194867917|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/326|Common - Lemonade|Sad|None|None|None|Green Light Undercut|Strawberry Stick|Hoodie|Lava Mutant||Wrench
780|🔴-262|Sobta Magic #250|104.54807461024156|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/250|Common - Lemonade|Wink|None|None|None|Red Ponytail|Grumpy|White Overalls|Honey Skin||Fountain Pen
781|🟡|Sobta Magic #636|104.07913504161414|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/636|Common - Cookie|Sad|None|None|None|Orange Pigtails|Triangle|Barista Suit|Earth Mutant||Carrot
782|🟡|Sobta Magic #645|104.00576509059344|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/645|Common - Charcoal|Bored|None|None|None|Blonde-Brown Man Bun|Wafer Roll|White Overalls|Milk Tea Skin||Bunching Onion
783|🔴-245|Sobta Magic #483|103.63953347966061|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/483|Common - Sky|Sad|None|None|None|Orange Pigtails|Open Smile|White T-Shirt|Almond Skin||Carrot
784|🔴-241|Sobta Magic #75|103.33112679527795|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/75|Common - Sunset|Angry|Sunglasses|Pain Relief Patch|None|Black Bucket Hat|Smirk|Hoodie|Almond Skin||Wrench
785|🔴-258|Sobta Magic #39|102.95217346681412|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/39|Common - Lemonade|Normal|None|None|None|Blonde-Brown Man Bun|O Mouth|School Uniform|Milk Tea Skin||Carrot
786|🔴-242|Sobta Magic #221|102.92197751011493|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/221|Common - Charcoal|Surprised|None|Pain Relief Patch|None|Red Helmet|Grumpy|Black Overalls|Milk Skin||Baseball Bat
787|🟡|Sobta Magic #566|102.6296703398702|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/566|Common - Taro Milk|Angry|Sunglasses|None|None|Blue Helmet|Smile|Hoodie|Honey Skin||Wrench
788|🔴-238|Sobta Magic #52|102.58781941797042|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/52|Common - Peach|Normal|None|None|None|Red Helmet|O Mouth|Black Overalls|Espresso Skin||Baseball Bat
789|🔴-247|Sobta Magic #162|102.43935159935799|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/162|Common - Taro Milk|Sad|None|None|None|Violet Ponytail|Triangle|Denim Shirt|Chocolate Skin||Baseball Bat
790|🟡|Sobta Magic #691|102.40657575445243|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/691|Common - Charcoal|Normal|None|None|None|Blue Messy|Grumpy|Yellow T-Shirt|Chocolate Skin||Carrot
791|🔴-237|Sobta Magic #67|102.27557163407658|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/67|Common - Lemonade|Bored|None|None|None|Blonde Double Braid|Smile|Black Jacket|Chocolate Skin||Wrench
792|🟡|Sobta Magic #660|101.80892123177807|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/660|Common - Lemonade|Fascinated|None|None|None|Violet Ponytail|Tongue Out|Yellow T-Shirt|Almond Skin||Baseball Bat
793|🔴-248|Sobta Magic #51|101.5612924681555|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/51|Common - Cotton Candy|Normal|None|None|None|Violet Ponytail|Bread|Fur Jacket|Milk Skin||Wrench
794|🔴-254|Sobta Magic #102|101.39413282461165|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/102|Common - Sky|Bored|None|None|None|Captain Girl|Open Smile|Black Jacket|Espresso Skin||Wrench
795|🔴-239|Sobta Magic #270|101.3100791780598|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/270|Common - Lemonade|Angry|None|Pain Relief Patch|None|Brown Bubble|Grumpy|Pink Overalls|Milk Skin||Carrot
796|🔴-239|Sobta Magic #365|100.83749848406829|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/365|Common - Lemonade|Wink|None|None|None|Brown Bubble|O Mouth|School Uniform|Milk Tea Skin||Wrench
797|🔴-250|Sobta Magic #342|100.75712544931135|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/342|Common - Taro Milk|Normal|None|Pain Relief Patch|None|Captain Girl|Bread|Aloha Shirt|Honey Skin||Bunching Onion
798|🟡|Sobta Magic #626|100.56403458460865|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/626|Common - Charcoal|Angry|None|None|None|Captain Girl|Smirk|School Uniform|Earth Mutant||Boomerang
799|🔴-247|Sobta Magic #146|100.46336028441388|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/146|Common - Taro Milk|Angry|None|None|None|Red Ponytail|Grumpy|Pink Overalls|Milk Tea Skin||Carrot
800|🔴-249|Sobta Magic #346|99.87201803560662|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/346|Common - Peach|Surprised|None|None|None|Black Bucket Hat|Grumpy|Hoodie|Espresso Skin||Boomerang
801|🔴-243|Sobta Magic #412|98.4343350927381|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/412|Common - Taro Milk|Angry|None|None|None|Brown Bubble|Grumpy|Aloha Shirt|Chocolate Skin||Carrot
802|🔴-254|Sobta Magic #306|97.05222080141327|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/306|Common - Peach|Angry|None|None|None|Blonde Palm Tree|Smirk|Denim Shirt|Honey Skin||Bunching Onion
803|🟡|Sobta Magic #732|96.00937176421158|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/732|Common - Charcoal|Surprised|None|None|None|Blonde-Brown Man Bun|Smirk|White Overalls|Honey Skin||Guitar
804|🔴-249|Sobta Magic #543|95.85725487523369|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/543|Common - Taro Milk|Normal|None|None|None|Orange Pigtails|Open Smile|Pink Overalls|Espresso Skin||Wrench
805|🟡|Sobta Magic #803|95.5952767687843|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/803|Common - Peach|Angry|None|None|None|Blonde Palm Tree|Smirk|Hoodie|Chocolate Skin||Baseball Bat
806|🔴-247|Sobta Magic #58|92.52097829426333|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/58|Common - Cotton Candy|Bored|None|None|None|Orange Pigtails|Tongue Out|Black Jacket|Almond Skin||Wrench
