_rank|📈|_name|_score|_link|Background|Eyes|Eyewear|Face Accessory|Friend|Hair|Mouth|Outfit|Skin|Special Adventurer|Weapon
553|🔴-117|Sobta Magic #332|125.33081846946344|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/332|Common - Cookie|Angry|Heart Glasses|Pain Relief Patch|None|Black Dreadlocks|Grumpy|White T-Shirt|Chocolate Skin||Fountain Pen
554|🔴-182|Sobta Magic #461|125.14359304515395|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/461|Common - Peach|Angry|None|Plaster|None|Brown Bubble|Open Smile|Aloha Shirt|Lava Mutant||Coffee Cup
555|🟡|Sobta Magic #775|125.08237389748851|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/775|Common - Lemonade|Happy|Gold Monocle|Tattoo|None|Blonde Palm Tree|O Mouth|Fur Jacket|Milk Tea Skin||Wrench
556|🔴-234|Sobta Magic #266|125.0657898091696|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/266|Common - Lemon|Bored|Sunglasses|None|None|Blue Messy|Strawberry Stick|Hoodie|Caramel Ape||Carrot
557|🔴-146|Sobta Magic #233|125.02607564739023|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/233|Common - Cookie|Happy|None|None|None|Black Dreadlocks|Grumpy|Black Overalls|Almond Skin||Water Staff
558|🔴-150|Sobta Magic #440|125.01050914492718|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/440|Common - Sunset|Sad|None|None|None|Blue Helmet|Grumpy|Black Overalls|Aqua Mutant||Syringe
559|🔴-207|Sobta Magic #45|124.99181266649462|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/45|Common - Cookie|Angry|Gold Glasses|Pain Relief Patch|None|Black Comma|Tongue Out|Aloha Shirt|Milk Skin||Boomerang
560|🟡|Sobta Magic #569|124.98051705505839|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/569|Common - Lemonade|Fascinated|None|Pain Relief Patch|None|Blonde Dreadlocks|Smirk|White T-Shirt|Espresso Skin||Coffee Cup
561|🔴-151|Sobta Magic #274|124.86257617337529|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/274|Common - Lemonade|Bored|None|Sobta Sticker|None|Brown Palm Tree|Wafer Roll|White Overalls|Vanilla Ape||Baseball Bat
562|🟡|Sobta Magic #696|124.84171177533028|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/696|Common - Lemonade|Bored|None|Sobta Sticker|None|White Bubble|Smile|Pink Overalls|Espresso Skin||Lollipop
563|🟡|Sobta Magic #789|124.81427254911972|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/789|Common - Lemonade|Surprised|None|None|Kabo|Orange Pigtails|Smile|Fur Jacket|Almond Skin||Boomerang
564|🔴-152|Sobta Magic #60|124.61697169544284|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/60|Common - Charcoal|Sad|None|Plaster|None|Green Light Undercut|O Mouth|Yellow T-Shirt|Vanilla Ape||Fountain Pen
565|🔴-123|Sobta Magic #195|124.5324448182123|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/195|Common - Lemon|Sad|Gold Monocle|None|None|Black Bucket Hat|Smirk|Yellow T-Shirt|Caramel Ape||Boomerang
566|🔴-176|Sobta Magic #82|124.47884501814706|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/82|Common - Cookie|Angry|Sunglasses|Plaster|None|Green Comma|Smirk|Denim Shirt|Caramel Ape||Wrench
567|🔴-172|Sobta Magic #402|124.38598896442268|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/402|Common - Cookie|Fascinated|Heart Glasses|None|None|White Bucket Hat|Choco Donut|Fur Jacket|Milk Tea Skin||Bunching Onion
568|🟡|Sobta Magic #720|124.36091138110419|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/720|Common - Cotton Candy|Surprised|Heart Glasses|None|None|Captain Boy|Smirk|Pink Overalls|Aqua Mutant||Squeaky Hammer
569|🔴-107|Sobta Magic #232|124.27665506129006|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/232|Common - Taro Milk|Wink|None|None|None|Green Comma|Triangle|Pink Overalls|Caramel Ape||Coffee Cup
570|🟡|Sobta Magic #798|124.26468106428314|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/798|Common - Sunset|Angry|Gold Monocle|Plaster|None|Orange Pigtails|Open Smile|Barista Suit|Milk Tea Skin||Bunching Onion
571|🔴-132|Sobta Magic #269|124.22553836347018|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/269|Common - Peach|Fascinated|Red Glasses|Sobta Sticker|None|Green Light Undercut|Triangle|White T-Shirt|Almond Skin||Baseball Bat
572|🟡|Sobta Magic #716|124.17045645626135|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/716|Common - Cotton Candy|Normal|None|Plaster|None|Violet Ponytail|Triangle|Sailor Suit|Espresso Skin||Squeaky Hammer
573|🟡|Sobta Magic #794|124.16344784118115|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/794|Common - Charcoal|Surprised|None|Plaster|None|Black Comma|Choco Donut|Denim Shirt|Espresso Skin||Guitar
574|🟡|Sobta Magic #786|123.97773401825894|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/786|Common - Sunset|Fascinated|Sunglasses|Star Sticker|None|Green Light Undercut|Grumpy|Pink Overalls|Espresso Skin||Fountain Pen
575|🟡|Sobta Magic #656|123.95352790493018|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/656|Common - Charcoal|Bored|None|Star Sticker|None|Brown Spiky|Grin|Barista Suit|Aqua Mutant||Guitar
576|🔴-145|Sobta Magic #553|123.92154620374143|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/553|Common - Lemon|Angry|Red Glasses|None|None|Brown Bubble|Choco Donut|Black Jacket|Aqua Mutant||Lollipop
577|🟡|Sobta Magic #573|123.89450186157906|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/573|Common - Cookie|Sad|None|Pain Relief Patch|None|Orange Side Braid|Rose|Pink Overalls|Honey Skin||Bunching Onion
578|🔴-247|Sobta Magic #191|123.85319793111348|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/191|Common - Cotton Candy|Wink|None|Tattoo|None|Orange Hime Cut|Smirk|White T-Shirt|Aqua Mutant||Guitar
579|🔴-147|Sobta Magic #497|123.38496761179371|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/497|Common - Peach|Surprised|None|Sobta Sticker|None|Brown Spiky|Grumpy|Barista Suit|Honey Skin||Fountain Pen
580|🔴-156|Sobta Magic #534|123.37559881715974|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/534|Common - Sunset|Normal|None|Rainbow Sticker|None|Red Helmet|Grumpy|Sailor Suit|Aqua Mutant||Wrench
581|🟡|Sobta Magic #635|123.22935717423819|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/635|Common - Taro Milk|Wink|Sunglasses|Plaster|None|Blonde-Brown Man Bun|Smile|Pink Overalls|Earth Mutant||Baseball Bat
582|🟡|Sobta Magic #616|123.20707761915482|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/616|Common - Sunset|Fascinated|None|Pain Relief Patch|None|Orange Side Braid|Leaf|Aloha Shirt|Honey Skin||Wrench
