rank|name|score|link|Bg|Body|Eye|Earring|Hair|Clothing|Mouth
2941|GoblinTownHero #2834|86.59985654802053|https://quixotic.io/asset/0x0f027dD51D793b91e630AdFb268a61A54fe1c7Bc/2834|Coconut|Pickle|Snake|None|Peach Bun|Fern|Drowsy
2942|GoblinTownHero #3109|86.51729002080303|https://quixotic.io/asset/0x0f027dD51D793b91e630AdFb268a61A54fe1c7Bc/3109|Spiky|Fern|Hungover|None|Salmon Short|Hero Cape|Grumpy
2943|GoblinTownHero #3258|86.50772653065475|https://quixotic.io/asset/0x0f027dD51D793b91e630AdFb268a61A54fe1c7Bc/3258|Mint|Moss|Sad|None|Sapling|Cerulean|Neutral Smile
2944|GoblinTownHero #137|86.49662912398927|https://quixotic.io/asset/0x0f027dD51D793b91e630AdFb268a61A54fe1c7Bc/137|Butter|Moss|Neutral|Big|Peach Fringe|Yellow Dark|Grumpy
2945|GoblinTownHero #2619|86.48449407558016|https://quixotic.io/asset/0x0f027dD51D793b91e630AdFb268a61A54fe1c7Bc/2619|Olive|Sky|Angry|None|Peach Bun|Hero Cape|Neutral Smile
2946|GoblinTownHero #435|86.45136456884464|https://quixotic.io/asset/0x0f027dD51D793b91e630AdFb268a61A54fe1c7Bc/435|Salmon|Fern|Hungover|None|Peach Bun|Punch|Tongue Out
2947|GoblinTownHero #2490|86.42575035146395|https://quixotic.io/asset/0x0f027dD51D793b91e630AdFb268a61A54fe1c7Bc/2490|Olive|Moss|X|Gold Ether|Leaf|Overalls|Grumpy
2948|GoblinTownHero #1165|86.38597848962466|https://quixotic.io/asset/0x0f027dD51D793b91e630AdFb268a61A54fe1c7Bc/1165|Flora|Sky|Snake|None|Peach Fringe|Stars|Cheeky Smile
2949|GoblinTownHero #1094|86.3823976776429|https://quixotic.io/asset/0x0f027dD51D793b91e630AdFb268a61A54fe1c7Bc/1094|Flora|Pickle|Sad|None|Pink Bear|Carrot|Smirk
2950|GoblinTownHero #1464|86.36904941399816|https://quixotic.io/asset/0x0f027dD51D793b91e630AdFb268a61A54fe1c7Bc/1464|Olive|Moss|Round White|None|Crown|Carrot|Neutral Smile
2951|GoblinTownHero #243|86.36179475532829|https://quixotic.io/asset/0x0f027dD51D793b91e630AdFb268a61A54fe1c7Bc/243|Olive|Fern|Sad|None|White Wavy|Ribbon|Goblin
2952|GoblinTownHero #2070|86.36040876784725|https://quixotic.io/asset/0x0f027dD51D793b91e630AdFb268a61A54fe1c7Bc/2070|Sky|Sky|Angry|None|Peach Fringe|Ether|Tongue Out
2953|GoblinTownHero #437|86.317109533778|https://quixotic.io/asset/0x0f027dD51D793b91e630AdFb268a61A54fe1c7Bc/437|Salmon|Sky|Snake|Gold Ether|Crown|Stars|Grumpy
2954|GoblinTownHero #941|86.26183454829739|https://quixotic.io/asset/0x0f027dD51D793b91e630AdFb268a61A54fe1c7Bc/941|Salmon|Fern|Sad|Big|Dark Bedhead|Fire|Neutral Smile
2955|GoblinTownHero #2724|86.2131420064661|https://quixotic.io/asset/0x0f027dD51D793b91e630AdFb268a61A54fe1c7Bc/2724|Pink|Fern|Gazed|None|Sapling|Lilly|Grumpy
2956|GoblinTownHero #3105|86.20862137637296|https://quixotic.io/asset/0x0f027dD51D793b91e630AdFb268a61A54fe1c7Bc/3105|Night|Pickle|Angry|None|Crown|Fire|Neutral Smile
2957|GoblinTownHero #1503|86.19941234678326|https://quixotic.io/asset/0x0f027dD51D793b91e630AdFb268a61A54fe1c7Bc/1503|Coconut|Pickle|Gazed|None|Crown|Lilly|Gasp
2958|GoblinTownHero #413|86.18236356338309|https://quixotic.io/asset/0x0f027dD51D793b91e630AdFb268a61A54fe1c7Bc/413|Mint|Fern|Neutral|Big|Lemon Trapperer|Fern|Grumpy
2959|GoblinTownHero #116|86.17756549915711|https://quixotic.io/asset/0x0f027dD51D793b91e630AdFb268a61A54fe1c7Bc/116|Mint|Pickle|Ghost|Shield|Crown|Fern|Grumpy
2960|GoblinTownHero #1420|86.16998349650677|https://quixotic.io/asset/0x0f027dD51D793b91e630AdFb268a61A54fe1c7Bc/1420|Sky|Moss|Snake|Gold Ether|White Wavy|Overalls|Cheeky Smile
2961|GoblinTownHero #3254|86.15758433192117|https://quixotic.io/asset/0x0f027dD51D793b91e630AdFb268a61A54fe1c7Bc/3254|Salmon|Moss|Neutral|Gold Ether|Pink Bear|Star Hero|Grumpy
2962|GoblinTownHero #1764|86.1339609736472|https://quixotic.io/asset/0x0f027dD51D793b91e630AdFb268a61A54fe1c7Bc/1764|Salmon|Pickle|Wayfarer|None|Mint Slicked|Fire|Cheeky Smile
2963|GoblinTownHero #1183|86.07740533167897|https://quixotic.io/asset/0x0f027dD51D793b91e630AdFb268a61A54fe1c7Bc/1183|Starry Arctic|Pickle|Angry|None|Leaf|Overalls|Grumpy
2964|GoblinTownHero #2563|86.07166141886155|https://quixotic.io/asset/0x0f027dD51D793b91e630AdFb268a61A54fe1c7Bc/2563|Spiky|Sky|X|None|Dark Bedhead|Fire|Grumpy
