rank|name|score|link|Background|Body|Headgear|Mouse|Glasses
2653|CattoPunk #3500|73.30702822750722|https://quixotic.io/asset/0xd88FB5809a51d5C42fEcF0e69055EEAC0C70b23C/3500|Pink|Black lucky cat|M-cap|Vape|None
2653|CattoPunk #5076|73.30702822750722|https://quixotic.io/asset/0xd88FB5809a51d5C42fEcF0e69055EEAC0C70b23C/5076|Green|Zombile|Blue-Banana|Vape|None
2657|CattoPunk #2909|73.30342714700303|https://quixotic.io/asset/0xd88FB5809a51d5C42fEcF0e69055EEAC0C70b23C/2909|Orange|Zombile|M-cap|Vape|None
2658|CattoPunk #1599|73.18046044543944|https://quixotic.io/asset/0xd88FB5809a51d5C42fEcF0e69055EEAC0C70b23C/1599|Blue|Blackbrown|Cap|Vape|Blue Sunglass
2658|CattoPunk #2438|73.18046044543944|https://quixotic.io/asset/0xd88FB5809a51d5C42fEcF0e69055EEAC0C70b23C/2438|Blue|Blackbrown|Cap Forward|Vape|Green Sunglass
2660|CattoPunk #241|73.17503075459342|https://quixotic.io/asset/0xd88FB5809a51d5C42fEcF0e69055EEAC0C70b23C/241|Blue|White|Orange Beanie|Red|Yellow Sunglass
2660|CattoPunk #2923|73.17503075459342|https://quixotic.io/asset/0xd88FB5809a51d5C42fEcF0e69055EEAC0C70b23C/2923|Pink|White|Blue Beanie|Red|Vr
2660|CattoPunk #6022|73.17503075459342|https://quixotic.io/asset/0xd88FB5809a51d5C42fEcF0e69055EEAC0C70b23C/6022|Pink|White|Orange Beanie|Red|Sunglass
2663|CattoPunk #6197|73.16065230860426|https://quixotic.io/asset/0xd88FB5809a51d5C42fEcF0e69055EEAC0C70b23C/6197|Yellow|White|Orange Beanie|Red|Sunglass
2664|CattoPunk #5394|73.15647827669396|https://quixotic.io/asset/0xd88FB5809a51d5C42fEcF0e69055EEAC0C70b23C/5394|Orange|Blackbrown|Cowboy|Vape|Orange Sunglass
2665|CattoPunk #6599|73.15326198183787|https://quixotic.io/asset/0xd88FB5809a51d5C42fEcF0e69055EEAC0C70b23C/6599|Orange|Zombile|Sailor|Red|None
2666|CattoPunk #7117|73.10776260418136|https://quixotic.io/asset/0xd88FB5809a51d5C42fEcF0e69055EEAC0C70b23C/7117|Green|Alien|Cop|Blue|3d
2666|CattoPunk #8446|73.10776260418136|https://quixotic.io/asset/0xd88FB5809a51d5C42fEcF0e69055EEAC0C70b23C/8446|Green|Alien|White Fedora|Blue|Yellow Sunglass
2666|CattoPunk #8954|73.10776260418136|https://quixotic.io/asset/0xd88FB5809a51d5C42fEcF0e69055EEAC0C70b23C/8954|Pink|Alien|White Fedora|Blue|Vr
2666|CattoPunk #9371|73.10776260418136|https://quixotic.io/asset/0xd88FB5809a51d5C42fEcF0e69055EEAC0C70b23C/9371|Green|Alien|White Fedora|Blue|3d
2670|CattoPunk #763|73.10416152367716|https://quixotic.io/asset/0xd88FB5809a51d5C42fEcF0e69055EEAC0C70b23C/763|Orange|Alien|Cap Forward|Blue|Vr-Blue
2670|CattoPunk #2657|73.10416152367716|https://quixotic.io/asset/0xd88FB5809a51d5C42fEcF0e69055EEAC0C70b23C/2657|Orange|Alien|Cap|Blue|Vr-Blue
2670|CattoPunk #7352|73.10416152367716|https://quixotic.io/asset/0xd88FB5809a51d5C42fEcF0e69055EEAC0C70b23C/7352|Orange|Alien|Cap Forward|Blue|Vr-Blue
2670|CattoPunk #9204|73.10416152367716|https://quixotic.io/asset/0xd88FB5809a51d5C42fEcF0e69055EEAC0C70b23C/9204|Orange|Alien|Cap Forward|Blue|Yellow Sunglass
2674|CattoPunk #1776|73.09338415819218|https://quixotic.io/asset/0xd88FB5809a51d5C42fEcF0e69055EEAC0C70b23C/1776|Yellow|Alien|White Fedora|Blue|Vr-red
2675|CattoPunk #8772|73.0730030699509|https://quixotic.io/asset/0xd88FB5809a51d5C42fEcF0e69055EEAC0C70b23C/8772|Yellow|Alien|Cap Forward|Blue|Orange Sunglass
2676|CattoPunk #1527|73.06427770918921|https://quixotic.io/asset/0xd88FB5809a51d5C42fEcF0e69055EEAC0C70b23C/1527|Violet|White|Punk|Red|Blue Sunglass
2677|CattoPunk #9395|73.04029554044374|https://quixotic.io/asset/0xd88FB5809a51d5C42fEcF0e69055EEAC0C70b23C/9395|Orange|White|Punk|Red|Orange Sunglass
2678|CattoPunk #769|72.99811703059602|https://quixotic.io/asset/0xd88FB5809a51d5C42fEcF0e69055EEAC0C70b23C/769|Pink|Grey|Viking|Vape|Sunglass
2678|CattoPunk #1149|72.99811703059602|https://quixotic.io/asset/0xd88FB5809a51d5C42fEcF0e69055EEAC0C70b23C/1149|Blue|Grey|M-cap|Vape|Vr-red
2678|CattoPunk #1638|72.99811703059602|https://quixotic.io/asset/0xd88FB5809a51d5C42fEcF0e69055EEAC0C70b23C/1638|Pink|Grey|M-cap|Vape|Vr-red
2678|CattoPunk #2375|72.99811703059602|https://quixotic.io/asset/0xd88FB5809a51d5C42fEcF0e69055EEAC0C70b23C/2375|Violet|Black|Blue-Banana|Vape|Yellow Sunglass
2678|CattoPunk #3286|72.99811703059602|https://quixotic.io/asset/0xd88FB5809a51d5C42fEcF0e69055EEAC0C70b23C/3286|Green|Grey|Viking|Vape|Vr-red
2678|CattoPunk #5221|72.99811703059602|https://quixotic.io/asset/0xd88FB5809a51d5C42fEcF0e69055EEAC0C70b23C/5221|Green|Black|Viking|Vape|Vr-red
2678|CattoPunk #6555|72.99811703059602|https://quixotic.io/asset/0xd88FB5809a51d5C42fEcF0e69055EEAC0C70b23C/6555|Pink|White Lucky Cat|M-cap|Vape|Sunglass
2678|CattoPunk #8405|72.99811703059602|https://quixotic.io/asset/0xd88FB5809a51d5C42fEcF0e69055EEAC0C70b23C/8405|Pink|White Lucky Cat|M-cap|Vape|Vr-Blue
2678|CattoPunk #9461|72.99811703059602|https://quixotic.io/asset/0xd88FB5809a51d5C42fEcF0e69055EEAC0C70b23C/9461|Blue|Grey|M-cap|Vape|Yellow Sunglass
2687|CattoPunk #1058|72.99451595009182|https://quixotic.io/asset/0xd88FB5809a51d5C42fEcF0e69055EEAC0C70b23C/1058|Orange|Grey|Blue-Banana|Vape|3d
2687|CattoPunk #6396|72.99451595009182|https://quixotic.io/asset/0xd88FB5809a51d5C42fEcF0e69055EEAC0C70b23C/6396|Orange|White Lucky Cat|Viking|Vape|Blue Sunglass
2689|CattoPunk #8960|72.98977568869444|https://quixotic.io/asset/0xd88FB5809a51d5C42fEcF0e69055EEAC0C70b23C/8960|Blue|Alien|Sailor|Vape|Sunglass
2690|CattoPunk #8851|72.98373858460684|https://quixotic.io/asset/0xd88FB5809a51d5C42fEcF0e69055EEAC0C70b23C/8851|Yellow|Black|Blue-Banana|Vape|3d
2691|CattoPunk #1690|72.98157294335785|https://quixotic.io/asset/0xd88FB5809a51d5C42fEcF0e69055EEAC0C70b23C/1690|Violet|Tri colour|Viking|Red|Green Sunglass
2691|CattoPunk #2395|72.98157294335785|https://quixotic.io/asset/0xd88FB5809a51d5C42fEcF0e69055EEAC0C70b23C/2395|Blue|Tri colour|Blue-Banana|Red|Vr-red
2691|CattoPunk #4533|72.98157294335785|https://quixotic.io/asset/0xd88FB5809a51d5C42fEcF0e69055EEAC0C70b23C/4533|Pink|Tri colour|Viking|Red|Violet Sunglass
2691|CattoPunk #5560|72.98157294335785|https://quixotic.io/asset/0xd88FB5809a51d5C42fEcF0e69055EEAC0C70b23C/5560|Violet|Tri colour|M-cap|Red|Green Sunglass
2691|CattoPunk #8090|72.98157294335785|https://quixotic.io/asset/0xd88FB5809a51d5C42fEcF0e69055EEAC0C70b23C/8090|Pink|Tri colour|Viking|Red|Green Sunglass
2696|CattoPunk #5954|72.97773594235474|https://quixotic.io/asset/0xd88FB5809a51d5C42fEcF0e69055EEAC0C70b23C/5954|Pink|Black|M-cap|Vape|Orange Sunglass
2696|CattoPunk #8123|72.97773594235474|https://quixotic.io/asset/0xd88FB5809a51d5C42fEcF0e69055EEAC0C70b23C/8123|Blue|White Lucky Cat|Viking|Vape|Orange Sunglass
2698|CattoPunk #2856|72.97413486185054|https://quixotic.io/asset/0xd88FB5809a51d5C42fEcF0e69055EEAC0C70b23C/2856|Orange|Black|Blue-Banana|Vape|Orange Sunglass
2699|CattoPunk #525|72.95014072486498|https://quixotic.io/asset/0xd88FB5809a51d5C42fEcF0e69055EEAC0C70b23C/525|Pink|Alien|Safety Helmet|Black|Violet Sunglass
2699|CattoPunk #600|72.95014072486498|https://quixotic.io/asset/0xd88FB5809a51d5C42fEcF0e69055EEAC0C70b23C/600|Green|Alien|Safety Helmet|Black|3d
2699|CattoPunk #887|72.95014072486498|https://quixotic.io/asset/0xd88FB5809a51d5C42fEcF0e69055EEAC0C70b23C/887|Pink|Alien|Safety Helmet|Black|Green Sunglass
2699|CattoPunk #4477|72.95014072486498|https://quixotic.io/asset/0xd88FB5809a51d5C42fEcF0e69055EEAC0C70b23C/4477|Blue|Alien|Safety Helmet|Black|Blue Sunglass
2703|CattoPunk #1020|72.94653964436078|https://quixotic.io/asset/0xd88FB5809a51d5C42fEcF0e69055EEAC0C70b23C/1020|Orange|Alien|Safety Helmet|Black|3d
2703|CattoPunk #8132|72.94653964436078|https://quixotic.io/asset/0xd88FB5809a51d5C42fEcF0e69055EEAC0C70b23C/8132|Orange|Alien|Safety Helmet|Black|Blue Sunglass
2705|CattoPunk #11|72.9357622788758|https://quixotic.io/asset/0xd88FB5809a51d5C42fEcF0e69055EEAC0C70b23C/11|Yellow|Alien|Safety Helmet|Black|Vr-red
2705|CattoPunk #5416|72.9357622788758|https://quixotic.io/asset/0xd88FB5809a51d5C42fEcF0e69055EEAC0C70b23C/5416|Yellow|Alien|Safety Helmet|Black|3d
2705|CattoPunk #5903|72.9357622788758|https://quixotic.io/asset/0xd88FB5809a51d5C42fEcF0e69055EEAC0C70b23C/5903|Yellow|Alien|Safety Helmet|Black|Blue Sunglass
2708|CattoPunk #2069|72.92975963662369|https://quixotic.io/asset/0xd88FB5809a51d5C42fEcF0e69055EEAC0C70b23C/2069|Blue|Alien|Safety Helmet|Black|Orange Sunglass
2709|CattoPunk #2094|72.84795186543086|https://quixotic.io/asset/0xd88FB5809a51d5C42fEcF0e69055EEAC0C70b23C/2094|Green|White Lucky Cat|Sailor|Red|Vr-Blue
2709|CattoPunk #2899|72.84795186543086|https://quixotic.io/asset/0xd88FB5809a51d5C42fEcF0e69055EEAC0C70b23C/2899|Violet|Black|Sailor|Red|Vr-Blue
2709|CattoPunk #4229|72.84795186543086|https://quixotic.io/asset/0xd88FB5809a51d5C42fEcF0e69055EEAC0C70b23C/4229|Blue|Grey|Sailor|Red|Vr-red
2709|CattoPunk #4341|72.84795186543086|https://quixotic.io/asset/0xd88FB5809a51d5C42fEcF0e69055EEAC0C70b23C/4341|Violet|Black|Sailor|Red|Green Sunglass
2713|CattoPunk #3879|72.84435078492666|https://quixotic.io/asset/0xd88FB5809a51d5C42fEcF0e69055EEAC0C70b23C/3879|Orange|White Lucky Cat|Sailor|Red|3d
2713|CattoPunk #7171|72.84435078492666|https://quixotic.io/asset/0xd88FB5809a51d5C42fEcF0e69055EEAC0C70b23C/7171|Orange|White Lucky Cat|Sailor|Red|Green Sunglass
2715|CattoPunk #9|72.83357341944168|https://quixotic.io/asset/0xd88FB5809a51d5C42fEcF0e69055EEAC0C70b23C/9|Yellow|Grey|Sailor|Red|Vr-Blue
2716|CattoPunk #4225|72.82396969668538|https://quixotic.io/asset/0xd88FB5809a51d5C42fEcF0e69055EEAC0C70b23C/4225|Orange|Grey|Sailor|Red|Orange Sunglass
2717|CattoPunk #311|72.65210620464401|https://quixotic.io/asset/0xd88FB5809a51d5C42fEcF0e69055EEAC0C70b23C/311|Blue|White Lucky Cat|Red-Banana|Pipe|None
2717|CattoPunk #1660|72.65210620464401|https://quixotic.io/asset/0xd88FB5809a51d5C42fEcF0e69055EEAC0C70b23C/1660|Violet|Black|Red-Banana|Cigarette|None
2717|CattoPunk #6535|72.65210620464401|https://quixotic.io/asset/0xd88FB5809a51d5C42fEcF0e69055EEAC0C70b23C/6535|Green|Black|Red-Banana|Pipe|None
2717|CattoPunk #6903|72.65210620464401|https://quixotic.io/asset/0xd88FB5809a51d5C42fEcF0e69055EEAC0C70b23C/6903|Violet|White Lucky Cat|Red-Banana|Pipe|None
2717|CattoPunk #8497|72.65210620464401|https://quixotic.io/asset/0xd88FB5809a51d5C42fEcF0e69055EEAC0C70b23C/8497|Pink|Grey|Red-Banana|Cigarette|None
2717|CattoPunk #9400|72.65210620464401|https://quixotic.io/asset/0xd88FB5809a51d5C42fEcF0e69055EEAC0C70b23C/9400|Green|Grey|Red-Banana|Pipe|None
2723|CattoPunk #2586|72.64720522395784|https://quixotic.io/asset/0xd88FB5809a51d5C42fEcF0e69055EEAC0C70b23C/2586|Pink|White Lucky Cat|Red-Banana|Spit|None
2724|CattoPunk #7918|72.63282677796866|https://quixotic.io/asset/0xd88FB5809a51d5C42fEcF0e69055EEAC0C70b23C/7918|Yellow|White Lucky Cat|Red-Banana|Spit|None
2725|CattoPunk #1970|72.62568890770335|https://quixotic.io/asset/0xd88FB5809a51d5C42fEcF0e69055EEAC0C70b23C/1970|Yellow|White|Fedora|Blue|Yellow Sunglass
2726|CattoPunk #2764|72.61331879486029|https://quixotic.io/asset/0xd88FB5809a51d5C42fEcF0e69055EEAC0C70b23C/2764|Pink|Blackbrown|Fedora|Red|Blue Sunglass
2727|CattoPunk #5257|72.40309468808428|https://quixotic.io/asset/0xd88FB5809a51d5C42fEcF0e69055EEAC0C70b23C/5257|Yellow|Violet|Fedora|Pipe|None
2728|CattoPunk #1005|72.38619961092748|https://quixotic.io/asset/0xd88FB5809a51d5C42fEcF0e69055EEAC0C70b23C/1005|Pink|Orange|Blue Beanie|Red|Sunglass
2728|CattoPunk #2560|72.38619961092748|https://quixotic.io/asset/0xd88FB5809a51d5C42fEcF0e69055EEAC0C70b23C/2560|Blue|Orange|Blue Beanie|Red|Vr
2728|CattoPunk #2748|72.38619961092748|https://quixotic.io/asset/0xd88FB5809a51d5C42fEcF0e69055EEAC0C70b23C/2748|Blue|Orange|Blue Beanie|Red|Yellow Sunglass
2728|CattoPunk #8339|72.38619961092748|https://quixotic.io/asset/0xd88FB5809a51d5C42fEcF0e69055EEAC0C70b23C/8339|Blue|Orange|Orange Beanie|Red|Vr-Blue
2728|CattoPunk #8921|72.38619961092748|https://quixotic.io/asset/0xd88FB5809a51d5C42fEcF0e69055EEAC0C70b23C/8921|Blue|Orange|Orange Beanie|Red|Vr-red
2733|CattoPunk #1428|72.3825985304233|https://quixotic.io/asset/0xd88FB5809a51d5C42fEcF0e69055EEAC0C70b23C/1428|Orange|Orange|Orange Beanie|Red|Vr-Blue
2733|CattoPunk #5353|72.3825985304233|https://quixotic.io/asset/0xd88FB5809a51d5C42fEcF0e69055EEAC0C70b23C/5353|Orange|Orange|Blue Beanie|Red|Blue Sunglass
2735|CattoPunk #820|72.34319500773282|https://quixotic.io/asset/0xd88FB5809a51d5C42fEcF0e69055EEAC0C70b23C/820|Green|Blackbrown|Sailor|Pipe|Sunglass
2735|CattoPunk #2996|72.34319500773282|https://quixotic.io/asset/0xd88FB5809a51d5C42fEcF0e69055EEAC0C70b23C/2996|Blue|Blackbrown|Sailor|Cigarette|Vr-red
2735|CattoPunk #4207|72.34319500773282|https://quixotic.io/asset/0xd88FB5809a51d5C42fEcF0e69055EEAC0C70b23C/4207|Pink|Blackbrown|Sailor|Cigarette|Green Sunglass
2735|CattoPunk #6662|72.34319500773282|https://quixotic.io/asset/0xd88FB5809a51d5C42fEcF0e69055EEAC0C70b23C/6662|Blue|Blackbrown|Sailor|Pipe|Sunglass
2739|CattoPunk #1483|72.33959392722863|https://quixotic.io/asset/0xd88FB5809a51d5C42fEcF0e69055EEAC0C70b23C/1483|Orange|Blackbrown|Sailor|Pipe|3d
2740|CattoPunk #4853|72.33829402704663|https://quixotic.io/asset/0xd88FB5809a51d5C42fEcF0e69055EEAC0C70b23C/4853|Blue|Blackbrown|Sailor|Spit|Green Sunglass
2740|CattoPunk #6198|72.33829402704663|https://quixotic.io/asset/0xd88FB5809a51d5C42fEcF0e69055EEAC0C70b23C/6198|Blue|Blackbrown|Sailor|Spit|Blue Sunglass
2742|CattoPunk #7065|72.27544656552327|https://quixotic.io/asset/0xd88FB5809a51d5C42fEcF0e69055EEAC0C70b23C/7065|Pink|Orange|Punk|Red|Sunglass
2743|CattoPunk #4053|72.26343187371636|https://quixotic.io/asset/0xd88FB5809a51d5C42fEcF0e69055EEAC0C70b23C/4053|Violet|Violet|Sailor|Black|None
2743|CattoPunk #9534|72.26343187371636|https://quixotic.io/asset/0xd88FB5809a51d5C42fEcF0e69055EEAC0C70b23C/9534|Violet|Violet|Sailor|Black|None
2745|CattoPunk #5592|72.25983079321217|https://quixotic.io/asset/0xd88FB5809a51d5C42fEcF0e69055EEAC0C70b23C/5592|Orange|Violet|Sailor|Black|None
2746|CattoPunk #5242|72.25506547728197|https://quixotic.io/asset/0xd88FB5809a51d5C42fEcF0e69055EEAC0C70b23C/5242|Blue|Orange|Punk|Red|Orange Sunglass
2747|CattoPunk #976|72.20161070914853|https://quixotic.io/asset/0xd88FB5809a51d5C42fEcF0e69055EEAC0C70b23C/976|Green|Black lucky cat|Blue Beanie|Pipe|None
2747|CattoPunk #1388|72.20161070914853|https://quixotic.io/asset/0xd88FB5809a51d5C42fEcF0e69055EEAC0C70b23C/1388|Blue|Black lucky cat|Orange Beanie|Pipe|None
2747|CattoPunk #1567|72.20161070914853|https://quixotic.io/asset/0xd88FB5809a51d5C42fEcF0e69055EEAC0C70b23C/1567|Green|Black lucky cat|Blue Beanie|Cigarette|None
2747|CattoPunk #3461|72.20161070914853|https://quixotic.io/asset/0xd88FB5809a51d5C42fEcF0e69055EEAC0C70b23C/3461|Pink|Zombile|Blue Beanie|Pipe|None
2747|CattoPunk #6629|72.20161070914853|https://quixotic.io/asset/0xd88FB5809a51d5C42fEcF0e69055EEAC0C70b23C/6629|Pink|Zombile|Orange Beanie|Cigarette|None
2752|CattoPunk #7257|72.19800962864434|https://quixotic.io/asset/0xd88FB5809a51d5C42fEcF0e69055EEAC0C70b23C/7257|Orange|Zombile|Blue Beanie|Cigarette|None
2753|CattoPunk #3449|72.09085766374432|https://quixotic.io/asset/0xd88FB5809a51d5C42fEcF0e69055EEAC0C70b23C/3449|Blue|Black lucky cat|Punk|Cigarette|None
2753|CattoPunk #7665|72.09085766374432|https://quixotic.io/asset/0xd88FB5809a51d5C42fEcF0e69055EEAC0C70b23C/7665|Pink|Zombile|Punk|Pipe|None
2755|CattoPunk #5917|72.08595668305813|https://quixotic.io/asset/0xd88FB5809a51d5C42fEcF0e69055EEAC0C70b23C/5917|Green|Zombile|Punk|Spit|None
2755|CattoPunk #9044|72.08595668305813|https://quixotic.io/asset/0xd88FB5809a51d5C42fEcF0e69055EEAC0C70b23C/9044|Blue|Black lucky cat|Punk|Spit|None
2757|CattoPunk #240|72.07647921775515|https://quixotic.io/asset/0xd88FB5809a51d5C42fEcF0e69055EEAC0C70b23C/240|Yellow|Zombile|Punk|Pipe|None
2758|CattoPunk #23|72.07157823706896|https://quixotic.io/asset/0xd88FB5809a51d5C42fEcF0e69055EEAC0C70b23C/23|Yellow|Zombile|Punk|Spit|None
2759|CattoPunk #1976|72.06047054631794|https://quixotic.io/asset/0xd88FB5809a51d5C42fEcF0e69055EEAC0C70b23C/1976|Violet|Tri colour|Fedora|Vape|Vr-Blue
2760|CattoPunk #3681|72.00726646518523|https://quixotic.io/asset/0xd88FB5809a51d5C42fEcF0e69055EEAC0C70b23C/3681|Pink|Alien|Safety Helmet|Vape|None
2761|CattoPunk #619|71.99766453438879|https://quixotic.io/asset/0xd88FB5809a51d5C42fEcF0e69055EEAC0C70b23C/619|Blue|Alien|Black Top Hat 1|Black|None
2761|CattoPunk #715|71.99766453438879|https://quixotic.io/asset/0xd88FB5809a51d5C42fEcF0e69055EEAC0C70b23C/715|Violet|Alien|Military Cap|Black|None
2761|CattoPunk #2104|71.99766453438879|https://quixotic.io/asset/0xd88FB5809a51d5C42fEcF0e69055EEAC0C70b23C/2104|Violet|Alien|Military Cap|Black|None
2761|CattoPunk #3599|71.99766453438879|https://quixotic.io/asset/0xd88FB5809a51d5C42fEcF0e69055EEAC0C70b23C/3599|Green|Alien|Military Cap|Black|None
2761|CattoPunk #4881|71.99766453438879|https://quixotic.io/asset/0xd88FB5809a51d5C42fEcF0e69055EEAC0C70b23C/4881|Blue|Alien|Black top Hat 2|Black|None
2761|CattoPunk #7427|71.99766453438879|https://quixotic.io/asset/0xd88FB5809a51d5C42fEcF0e69055EEAC0C70b23C/7427|Pink|Alien|Military Cap|Black|None
2761|CattoPunk #7862|71.99766453438879|https://quixotic.io/asset/0xd88FB5809a51d5C42fEcF0e69055EEAC0C70b23C/7862|Pink|Alien|Black Top Hat 1|Black|None
2768|CattoPunk #4211|71.9940634538846|https://quixotic.io/asset/0xd88FB5809a51d5C42fEcF0e69055EEAC0C70b23C/4211|Orange|Alien|Black top Hat 2|Black|None
2768|CattoPunk #8170|71.9940634538846|https://quixotic.io/asset/0xd88FB5809a51d5C42fEcF0e69055EEAC0C70b23C/8170|Orange|Alien|Black Top Hat 1|Black|None
2768|CattoPunk #8670|71.9940634538846|https://quixotic.io/asset/0xd88FB5809a51d5C42fEcF0e69055EEAC0C70b23C/8670|Orange|Alien|Military Cap|Black|None
2771|CattoPunk #9579|71.95554174102074|https://quixotic.io/asset/0xd88FB5809a51d5C42fEcF0e69055EEAC0C70b23C/9579|Pink|Ape|Blue Beanie|Red|None
2772|CattoPunk #27|71.89269951223733|https://quixotic.io/asset/0xd88FB5809a51d5C42fEcF0e69055EEAC0C70b23C/27|Blue|Grey|Orange Beanie|Cigarette|Sunglass
2772|CattoPunk #165|71.89269951223733|https://quixotic.io/asset/0xd88FB5809a51d5C42fEcF0e69055EEAC0C70b23C/165|Pink|Grey|Orange Beanie|Pipe|Violet Sunglass
2772|CattoPunk #1562|71.89269951223733|https://quixotic.io/asset/0xd88FB5809a51d5C42fEcF0e69055EEAC0C70b23C/1562|Violet|Black|Orange Beanie|Cigarette|Vr-red
2772|CattoPunk #1584|71.89269951223733|https://quixotic.io/asset/0xd88FB5809a51d5C42fEcF0e69055EEAC0C70b23C/1584|Violet|Black|Orange Beanie|Cigarette|Green Sunglass
2772|CattoPunk #1812|71.89269951223733|https://quixotic.io/asset/0xd88FB5809a51d5C42fEcF0e69055EEAC0C70b23C/1812|Pink|Grey|Blue Beanie|Cigarette|Violet Sunglass
2772|CattoPunk #2147|71.89269951223733|https://quixotic.io/asset/0xd88FB5809a51d5C42fEcF0e69055EEAC0C70b23C/2147|Green|Grey|Orange Beanie|Cigarette|Violet Sunglass
2772|CattoPunk #2224|71.89269951223733|https://quixotic.io/asset/0xd88FB5809a51d5C42fEcF0e69055EEAC0C70b23C/2224|Violet|Black|Orange Beanie|Pipe|Sunglass
2772|CattoPunk #2911|71.89269951223733|https://quixotic.io/asset/0xd88FB5809a51d5C42fEcF0e69055EEAC0C70b23C/2911|Blue|White Lucky Cat|Blue Beanie|Pipe|3d
2772|CattoPunk #3381|71.89269951223733|https://quixotic.io/asset/0xd88FB5809a51d5C42fEcF0e69055EEAC0C70b23C/3381|Green|Black|Blue Beanie|Pipe|Violet Sunglass
2772|CattoPunk #3570|71.89269951223733|https://quixotic.io/asset/0xd88FB5809a51d5C42fEcF0e69055EEAC0C70b23C/3570|Blue|Grey|Blue Beanie|Cigarette|Vr-Blue
2772|CattoPunk #3608|71.89269951223733|https://quixotic.io/asset/0xd88FB5809a51d5C42fEcF0e69055EEAC0C70b23C/3608|Pink|Black|Blue Beanie|Pipe|Blue Sunglass
2772|CattoPunk #3664|71.89269951223733|https://quixotic.io/asset/0xd88FB5809a51d5C42fEcF0e69055EEAC0C70b23C/3664|Green|White Lucky Cat|Blue Beanie|Cigarette|3d
2772|CattoPunk #4237|71.89269951223733|https://quixotic.io/asset/0xd88FB5809a51d5C42fEcF0e69055EEAC0C70b23C/4237|Blue|White Lucky Cat|Orange Beanie|Cigarette|Blue Sunglass
2772|CattoPunk #4801|71.89269951223733|https://quixotic.io/asset/0xd88FB5809a51d5C42fEcF0e69055EEAC0C70b23C/4801|Violet|Grey|Orange Beanie|Cigarette|Sunglass
2772|CattoPunk #5348|71.89269951223733|https://quixotic.io/asset/0xd88FB5809a51d5C42fEcF0e69055EEAC0C70b23C/5348|Violet|Black|Blue Beanie|Pipe|Violet Sunglass
2772|CattoPunk #5561|71.89269951223733|https://quixotic.io/asset/0xd88FB5809a51d5C42fEcF0e69055EEAC0C70b23C/5561|Violet|Black|Blue Beanie|Pipe|Vr-red
2772|CattoPunk #6333|71.89269951223733|https://quixotic.io/asset/0xd88FB5809a51d5C42fEcF0e69055EEAC0C70b23C/6333|Pink|White Lucky Cat|Orange Beanie|Cigarette|Sunglass
2772|CattoPunk #6338|71.89269951223733|https://quixotic.io/asset/0xd88FB5809a51d5C42fEcF0e69055EEAC0C70b23C/6338|Violet|White Lucky Cat|Orange Beanie|Pipe|Sunglass
2772|CattoPunk #7422|71.89269951223733|https://quixotic.io/asset/0xd88FB5809a51d5C42fEcF0e69055EEAC0C70b23C/7422|Pink|Black|Blue Beanie|Cigarette|3d
2772|CattoPunk #8073|71.89269951223733|https://quixotic.io/asset/0xd88FB5809a51d5C42fEcF0e69055EEAC0C70b23C/8073|Blue|White Lucky Cat|Blue Beanie|Cigarette|3d
2772|CattoPunk #9836|71.89269951223733|https://quixotic.io/asset/0xd88FB5809a51d5C42fEcF0e69055EEAC0C70b23C/9836|Violet|White Lucky Cat|Orange Beanie|Pipe|Violet Sunglass
2793|CattoPunk #4288|71.88909843173313|https://quixotic.io/asset/0xd88FB5809a51d5C42fEcF0e69055EEAC0C70b23C/4288|Orange|Grey|Orange Beanie|Cigarette|Vr
2793|CattoPunk #9677|71.88909843173313|https://quixotic.io/asset/0xd88FB5809a51d5C42fEcF0e69055EEAC0C70b23C/9677|Orange|White Lucky Cat|Orange Beanie|Cigarette|3d
2795|CattoPunk #1973|71.88779853155114|https://quixotic.io/asset/0xd88FB5809a51d5C42fEcF0e69055EEAC0C70b23C/1973|Violet|Black|Blue Beanie|Spit|Vr-red
2795|CattoPunk #2233|71.88779853155114|https://quixotic.io/asset/0xd88FB5809a51d5C42fEcF0e69055EEAC0C70b23C/2233|Blue|Black|Orange Beanie|Spit|Vr-Blue
2795|CattoPunk #2353|71.88779853155114|https://quixotic.io/asset/0xd88FB5809a51d5C42fEcF0e69055EEAC0C70b23C/2353|Pink|White Lucky Cat|Orange Beanie|Spit|Yellow Sunglass
2795|CattoPunk #2422|71.88779853155114|https://quixotic.io/asset/0xd88FB5809a51d5C42fEcF0e69055EEAC0C70b23C/2422|Blue|White Lucky Cat|Orange Beanie|Spit|Vr-Blue
2795|CattoPunk #3120|71.88779853155114|https://quixotic.io/asset/0xd88FB5809a51d5C42fEcF0e69055EEAC0C70b23C/3120|Pink|Black|Blue Beanie|Spit|Sunglass
2795|CattoPunk #5090|71.88779853155114|https://quixotic.io/asset/0xd88FB5809a51d5C42fEcF0e69055EEAC0C70b23C/5090|Violet|Black|Blue Beanie|Spit|Sunglass
2795|CattoPunk #5814|71.88779853155114|https://quixotic.io/asset/0xd88FB5809a51d5C42fEcF0e69055EEAC0C70b23C/5814|Violet|Grey|Blue Beanie|Spit|Sunglass
2795|CattoPunk #9361|71.88779853155114|https://quixotic.io/asset/0xd88FB5809a51d5C42fEcF0e69055EEAC0C70b23C/9361|Pink|Black|Orange Beanie|Spit|3d
