rank|name|score|link|Background|Body|Tattoo|Nose|Mouth|Eyes|On eyes|Clothes|Accessorie|Head|Smokes
60|Oliens #1793|346.14583296048085|https://quixotic.io/asset/0x69a68eb548A37ee475D9f89646945588558796D1/1792|brown and blue |gray bluish ||big fat nose |wide mouth|tierd eyes sinning ||simple green Tshirt ||egyptian|
61|Oliens #571|342.27840463123863|https://quixotic.io/asset/0x69a68eb548A37ee475D9f89646945588558796D1/570|pink back |green ||funny nose |wide mouth|bored eyes ||under shirt ||egyptian|
62|Oliens #1503|341.82145343603446|https://quixotic.io/asset/0x69a68eb548A37ee475D9f89646945588558796D1/1502|red drapes |sun burn white skin ||nose2 |wondering mouth |sus eyes||pink bathrobe ||black robe and dark sing |
63|Oliens #1869|341.1128518767145|https://quixotic.io/asset/0x69a68eb548A37ee475D9f89646945588558796D1/1868|glittery night sky |sky blue body ||wierd nose |wide mouth|cool eyes |sun glasses |orange shirt with a line ||cap |
64|Oliens #1535|339.5378244882026|https://quixotic.io/asset/0x69a68eb548A37ee475D9f89646945588558796D1/1534|pizza planet |light skin ||nose2 |wondering mouth |tierd eyes sinning |purple fire glasses |pink shirt with a line |bitcoin necklce|orange long hair |cigarette 
65|Oliens #604|339.0375390989458|https://quixotic.io/asset/0x69a68eb548A37ee475D9f89646945588558796D1/603|red drapes |pink ||Onose |wide mouth|cool eyes ||black suit ||cap |
66|Oliens #1558|337.44284205048587|https://quixotic.io/asset/0x69a68eb548A37ee475D9f89646945588558796D1/1557|glittery night sky |bunrt umber ||nose2 |wondering mouth |sus eyes|eyepatch|jedi robe ||oxblood cowboyhat |
67|Oliens #1356|337.301083466254|https://quixotic.io/asset/0x69a68eb548A37ee475D9f89646945588558796D1/1355|blue |light gray |fuck off tattoo |bignose |wondering mouth |tierd eyes ||pink shirt with a line ||head band |
68|Oliens #1721|335.6814974064432|https://quixotic.io/asset/0x69a68eb548A37ee475D9f89646945588558796D1/1720|glittery night sky |light virdian ||wierd nose |wondering mouth |bored eyes ||light pink cowboy shirt ||egyptian|
69|Oliens #1987|335.5413765306115|https://quixotic.io/asset/0x69a68eb548A37ee475D9f89646945588558796D1/1986|light blue |bunrt umber ||big fat nose |joker mouth|tierd eyes sinning ||triditional robe ||braid black|
70|Oliens #1727|334.83396967641255|https://quixotic.io/asset/0x69a68eb548A37ee475D9f89646945588558796D1/1726|sangria red |pink ||nose2 |wild mouth |cute eyes ||navy suit ||head band |
71|Oliens #1690|332.92132538453404|https://quixotic.io/asset/0x69a68eb548A37ee475D9f89646945588558796D1/1689|jungle |bunrt umber ||big fat nose |closed mouth |punky eyes ||purple vintage shirt ||black robe and dark sing |
72|Oliens #819|332.61888639798764|https://quixotic.io/asset/0x69a68eb548A37ee475D9f89646945588558796D1/818|red drapes |pink |fuck off tattoo |nose2 |wide mouth|joker eyes ||under shirt ||red mohak |
73|Oliens #1883|331.6740948228061|https://quixotic.io/asset/0x69a68eb548A37ee475D9f89646945588558796D1/1882|red |light virdian |fuck off tattoo |Onose |wild mouth |bored eyes ||black suit & red tie ||braid ginger |
74|Oliens #1204|323.42558573415215|https://quixotic.io/asset/0x69a68eb548A37ee475D9f89646945588558796D1/1203|mushroom cloud |pale lime yellow ||bignose |wondering mouth |joker eyes |pink fire glaasses |hazelnut brown shirt with a line ||braid ginger |
75|Oliens #1052|323.2569716564205|https://quixotic.io/asset/0x69a68eb548A37ee475D9f89646945588558796D1/1051|pink back |pickle green ||Onose |wide mouth|joker eyes ||red suit |silver ring |braid cherry |blunt 
76|Oliens #2219|321.49022587835753|https://quixotic.io/asset/0x69a68eb548A37ee475D9f89646945588558796D1/2218|glittery night sky |dark brown ||wierd nose |wide mouth|tierd eyes ||blue Tshirt ||egyptian|
77|Oliens #25|320.86743373572597|https://quixotic.io/asset/0x69a68eb548A37ee475D9f89646945588558796D1/24|420 am |light virdian ||nose2 |wondering mouth |Oeyes shiny ||jedi robe ||bald |
78|Oliens #903|318.92932196461066|https://quixotic.io/asset/0x69a68eb548A37ee475D9f89646945588558796D1/902|blue |bunrt umber ||wierd nose |small lips|cool eyes |sun glasses |naked ||head band |cigarette 
79|Oliens #1621|315.0899457638873|https://quixotic.io/asset/0x69a68eb548A37ee475D9f89646945588558796D1/1620|wine red |raw umber ||funny nose |wondering mouth |Oeyes shiny ||black suit & red tie ||red mohak |blunt 
80|Oliens #2032|311.9708705199441|https://quixotic.io/asset/0x69a68eb548A37ee475D9f89646945588558796D1/2031|cosmos black back |baby blue ||nose2 |wondering mouth |joker eyes ||blue bathrobe ||green mohak|
81|Oliens #1442|310.8370648561318|https://quixotic.io/asset/0x69a68eb548A37ee475D9f89646945588558796D1/1441|forest green |light skin |fuck off tattoo |wierd nose |small lips|bored eyes |eyepatch|red Tshirt ||joker hair |cigarette 
82|Oliens #1738|309.68404780019205|https://quixotic.io/asset/0x69a68eb548A37ee475D9f89646945588558796D1/1737|brown and blue |green ||bignose |wondering mouth |joker eyes ||green vintage shirt ||braid ginger |blunt 
83|Oliens #476|308.8995922593277|https://quixotic.io/asset/0x69a68eb548A37ee475D9f89646945588558796D1/475|anarchist |light lime yellow ||big fat nose |wondering mouth |joker eyes ||under shirt ||red mohak |
84|Oliens #643|305.7547740933301|https://quixotic.io/asset/0x69a68eb548A37ee475D9f89646945588558796D1/642|tunnel|gray bluish ||bignose |closed mouth |punky eyes ||pizza planet guy t shirt ||head band |
85|Oliens #1636|303.2448487387979|https://quixotic.io/asset/0x69a68eb548A37ee475D9f89646945588558796D1/1635|jungle |sky blue body ||Onose |closed mouth |sus eyes||red Tshirt ||black robe and dark sing |
86|Oliens #1702|302.9645911669858|https://quixotic.io/asset/0x69a68eb548A37ee475D9f89646945588558796D1/1701|summer |light virdian ||wierd nose |wondering mouth |tierd eyes ||purple and green shirt |gold ring|long braid black |blunt 
87|Oliens #1705|299.8716826922883|https://quixotic.io/asset/0x69a68eb548A37ee475D9f89646945588558796D1/1704|galaxy |sky blue body ||nose2 |wondering mouth |sus eyes|sun glasses |light pink cowboy shirt ||head band |
88|Oliens #422|299.67248244610823|https://quixotic.io/asset/0x69a68eb548A37ee475D9f89646945588558796D1/421|shades of gray |sun burn white skin |will i ever go home tattoo |nose2 |wild mouth |Oeyes shiny ||black suit & red tie ||oxblood cowboyhat |
89|Oliens #1860|297.71394272250905|https://quixotic.io/asset/0x69a68eb548A37ee475D9f89646945588558796D1/1859|blue |bunrt umber ||funny nose |wild mouth |Oeyes ||jedi robe |silver ring |braid ginger |
90|Oliens #2103|295.7093824113597|https://quixotic.io/asset/0x69a68eb548A37ee475D9f89646945588558796D1/2102|dark purple back |bunrt umber ||nose2 |wondering mouth |bored eyes ||black suit & red tie |silver ring |bald |cigarette 
91|Oliens #929|295.07382869101133|https://quixotic.io/asset/0x69a68eb548A37ee475D9f89646945588558796D1/928|shades of gray |pink |stiches |funny nose |closed mouth |cute eyes |red fire glasses |blue bathrobe ||oxblood cowboyhat |cigarette 
92|Oliens #290|293.3982479662298|https://quixotic.io/asset/0x69a68eb548A37ee475D9f89646945588558796D1/289|dark purple back |pickle green ||funny nose |joker mouth|cute eyes ||deep green vintage shirt ||braid unicorn |
93|Oliens #2104|290.1928403691625|https://quixotic.io/asset/0x69a68eb548A37ee475D9f89646945588558796D1/2103|anarchist |green |will i ever go home tattoo |nose2 |wide mouth|bored eyes |sun glasses |purple and green shirt ||short wavy hair |cigarette 
94|Oliens #1125|289.71990422867384|https://quixotic.io/asset/0x69a68eb548A37ee475D9f89646945588558796D1/1124|purple back |raw umber ||Onose |wide mouth|punky eyes ||jedi robe ||red cap hat |
95|Oliens #1250|289.2101585406293|https://quixotic.io/asset/0x69a68eb548A37ee475D9f89646945588558796D1/1249|jungle |dark brown ||funny nose |wide mouth|punky eyes |purple fire glasses |triditional robe |silver ring |red mohak |
96|Oliens #2120|288.34597255929185|https://quixotic.io/asset/0x69a68eb548A37ee475D9f89646945588558796D1/2119|orange to purple |raw umber ||bignose |wide mouth|cute eyes shining ||jedi robe ||braid caramel|
97|Oliens #1654|287.5875496961136|https://quixotic.io/asset/0x69a68eb548A37ee475D9f89646945588558796D1/1653|forest green |pale lime yellow ||nose2 |wide mouth|Oeyes shiny ||orange vintage shirt ||head band |
98|Oliens #953|287.15504112064554|https://quixotic.io/asset/0x69a68eb548A37ee475D9f89646945588558796D1/952|red drapes |pale lime yellow ||funny nose |wild mouth |tierd eyes sinning ||jedi robe ||green mohak|
99|Oliens #1826|286.11799474281906|https://quixotic.io/asset/0x69a68eb548A37ee475D9f89646945588558796D1/1825|desert|pink ||Onose |wild mouth |punky eyes ||blue Tshirt ||head band |cigarette 
100|Oliens #818|285.89521965769376|https://quixotic.io/asset/0x69a68eb548A37ee475D9f89646945588558796D1/817|desert|light gray ||nose2 |wild mouth |tierd eyes sinning |sun glasses |black suit & red tie ||oxblood cowboyhat |
101|Oliens #944|285.80426970177183|https://quixotic.io/asset/0x69a68eb548A37ee475D9f89646945588558796D1/943|light blue |sun burn white skin ||nose2 |wondering mouth |Oeyes shiny ||purple and green shirt |gold ring|red mohak |
102|Oliens #1940|284.688666453785|https://quixotic.io/asset/0x69a68eb548A37ee475D9f89646945588558796D1/1939|stary sky|light skin ||nose2 |closed mouth |sus eyes||orange vintage shirt ||head band |
103|Oliens #1346|284.53127400283125|https://quixotic.io/asset/0x69a68eb548A37ee475D9f89646945588558796D1/1345|glittery night sky |light lime yellow ||bignose |wide mouth|sus eyes||under shirt ||black robe and dark sing |
104|Oliens #1788|281.4852002201307|https://quixotic.io/asset/0x69a68eb548A37ee475D9f89646945588558796D1/1787|brown and blue |dark brown ||Onose |wild mouth |joker eyes ||red suit ||braid unicorn |
105|Oliens #2084|281.0598446988186|https://quixotic.io/asset/0x69a68eb548A37ee475D9f89646945588558796D1/2083|stary sky|pale lime yellow ||Onose |wide mouth|joker eyes ||simple green Tshirt ||braid caramel|cigarette 
106|Oliens #1664|280.5668512097294|https://quixotic.io/asset/0x69a68eb548A37ee475D9f89646945588558796D1/1663|desert night |sky blue body ||nose2 |open mouth |cool eyes |eyepatch|blue bathrobe ||black long hair |
107|Oliens #1270|279.9134577087742|https://quixotic.io/asset/0x69a68eb548A37ee475D9f89646945588558796D1/1269|cosmos black back |sun burn white skin |fuck off tattoo |big fat nose |wondering mouth |cool eyes ||fancy dress||red mohak |blunt 
108|Oliens #696|279.0991668348701|https://quixotic.io/asset/0x69a68eb548A37ee475D9f89646945588558796D1/695|cosmos black back |pale lime yellow |tear tattoo |bignose |open mouth |tierd eyes |pink fire glaasses |pink shirt with a line ||bald |
109|Oliens #295|278.9087678308428|https://quixotic.io/asset/0x69a68eb548A37ee475D9f89646945588558796D1/294|summer |sun burn white skin ||big fat nose |joker mouth|cool eyes ||purple vintage shirt ||green mohak|
110|Oliens #2035|278.90143727754605|https://quixotic.io/asset/0x69a68eb548A37ee475D9f89646945588558796D1/2034|red drapes |raw umber |will i ever go home tattoo |Onose |wondering mouth |cool eyes ||jedi robe ||braid caramel|
111|Oliens #330|277.8774275263445|https://quixotic.io/asset/0x69a68eb548A37ee475D9f89646945588558796D1/329|orange to purple |dark brown ||Onose |wondering mouth |punky eyes ||black suit & red tie ||braid ocean blue |
