rank|name|score|link|aura|weapon|body|eye|clothes|accessory_ear|mouth|accessory_face|hair|headgear|style
1333|Genesis Kami #794|609.4572200711825|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/794|Coin black red thunder|Gray scythe|Gray|Sky blue determined|Purple gangster suit|Silver chain|Cigar|None|Gold ikemen|Joker mask|present
1334|Genesis Kami #1151|609.3690572812326|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/1151|Fossil red fire ghost|Katana 2|Cream|White cold|Gray binbo|Gold short long|Gritted|Ninja mask|Gray nippon|Kitsune mask|ancient
1335|Genesis Kami #3|609.287240827458|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/3|Hazelnut|Silver buster sword|Cream|Black angry eyes|Black hood|Gold ring 2|Angry|Black danzo mekakushi|Black cornrow braids|White baby cat|present
1336|Genesis Kami #4577|609.1750186533764|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/4577|Fossil blue fire ghost|Brush|White|Pink gangsta|Blue gangster suit|Silver skull|Purple rose|White opera kamen|Brownish orange shonen|Joker mask|present
1337|Genesis Kami #3700|609.1120093805006|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/3700|Fossil purple fire ghost|Red scythe|White|Purple cold|Black angel|Silver short long|Black rose|Blue cyberpunk glasses|Gray ikemen|White devil horn|fantasy
1338|Genesis Kami #866|609.0927815778755|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/866|Coin sakura|None|White|Yellow good boy|White gold pimp|Sky blue feather|Gritted|Bandage cheek|White harajuku|Black cat ears|present
1339|Genesis Kami #2092|608.9972889904803|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/2092|Slate purple fire ghost|Spear|Brown|Black grievous|Purple black hood|Gold double long right|Neutral|Houtai cheek & nose|Black shonen|Gray baby cat|present
1340|Genesis Kami #3776|608.9914341421812|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/3776|Rosewood|Shikigami|Titanium|Green cold|Red bondage|White black fluffy|Smirk|Rimless|Black oppa|Brownish orange cat ears|ancient
1341|Genesis Kami #3684|608.9215040395603|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/3684|Lead fire fairy|Katana 1|Brown|Purple determined|Blue binbo|Black white fluffy|Smile with teeth|Doctor glasses|White harajuku|Brownish orange cat ears|ancient
1342|Genesis Kami #2874|608.8828339080377|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/2874|Hickory|Berserker blade|White|Purple grievous|Black cape|Silver dot|Blue gum|Green cyberpunk glasses|Brown madara|Black baby cat|present
1343|Genesis Kami #69|608.882088444217|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/69|Hazelnut|Gold berserker|Cream|Sky blue satan|Red lord|Gold double ring right 2|Gritted|None|Red cornrow braids|Gold minotaur horn|fantasy
1344|Genesis Kami #2142|608.8472218128069|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/2142|Fossil kase|None|Cream|Yellow aggressive|Green cyberpunk suit|Silver short long|Black rose|None|Gray cornrow braids|Gold satan horn|fantasy
1345|Genesis Kami #5369|608.6759356751567|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/5369|Coin sakura|Brush|Gray|Purple good boy|Black shirt|Gold double long right|Smirk|Black opera kamen|Gray harajuku|Angel ring|present
